,AID,Format,Valid,Fulltext_Available,DOI_Available,Link_Available,RG_Details,Work_Type,row.names,PT,BA,BE,Z2,Y1,AE,Z3,BS,VL,MA,BP,EP,AR,SU,PD,AK,CT,CY,SP,CL
118,A118,NA,NA,NA,NA,NA,NA,NA,J,"Kelly, O. D.; Anane, A.; Bernard, R.; Youssef, J. B.; Hahn, C.; Molpeceres, A.-H.; Carretero, C.; Jacquet, E.; Deranlot, C.; Bortolotti, P.; Lebourgois, R.; Mage, J.-C.; Loubens, G. de; Klein, O.; Cros, V.; Fert, A.",,,,,,ResearchGate,,,,,,,,2013,,,,,1
119,A119,NA,NA,NA,NA,NA,NA,NA,J,"Kelsey, J.; Schneier, B.; Wagner, D.",,,"Related-key cryptanalysis of 3-way,biham-des,cast, des-x, newdes, rc2, and tea",,,ResearchGate,,,,,,,,2000,,,,,1
120,A120,NA,NA,NA,NA,NA,NA,NA,J,"Kharisov, B. I.",,,Dispersion of carbon nanotubes in water and non-aqueous solvents,,,ResearchGate,,,,,,,,NA,,,,,1
121,A121,NA,NA,NA,NA,NA,NA,NA,J,"Khitun, A.; Nikonov, D. E.; Bao, M.; Galatsis, K.; Wang, K. L.",,,,,,ResearchGate,,,,,,,,2007,,,,,1
122,A122,NA,NA,NA,NA,NA,NA,NA,J,"Kim, S. M.; Chong, J. W.; Jung, C. Y.; Jeon, T. H.; Park, J. H.; Kang, Y. J.; Jeong, S. H.; Kim, M. J.; Sung, D. K.",,,Experiments on Interference and Coexistence between ZigBee and WLAN Devices Operating in the 2.4 GHz ISM Band,,,ResearchGate,1,,,,,,,2005,,,,,1
123,A123,NA,NA,NA,NA,NA,NA,NA,J,"Kincaid, RL",,,Assessment of trace mineral status of ruminants: a review,,,ResearchGate,,,77,77,,,,1999,,,,,1
124,A124,NA,NA,NA,NA,NA,NA,NA,J,"Kleimola, J.",,,A RESTful Interface to a Mobile Phone,,,ResearchGate,,,,,,,,2008,,,,,1
125,A125,NA,NA,NA,NA,NA,NA,NA,J,"Klein, D.",,,An OpenFlow extension for the OMNeT++ INET framework,,,ResearchGate,,,,,,,,2013,,,,,1
126,A126,NA,NA,NA,NA,NA,NA,NA,J,"Kleinberg, S. C.; Arroyo, J. E.; Chih, K.; Scherer, S. S.",,,"Na, K-ATPase isoforms in the PNS: Cell-type specific expression and internodal localization inmyelinated axons",,,ResearchGate,,,,,,,,2007,,,,,1
127,A127,NA,NA,NA,NA,NA,NA,NA,J,"Knudsen, M. P.; Dalum, B.; Villumsen, G.",,,,,,Two Faces of Absorptive Capacity Creation: Access and Utilisation of Knowledge,,,,,,,,2001,,,,,1
128,A128,NA,NA,NA,NA,NA,NA,NA,J,"Koch, D.; Buchan, W.; Cnop, T.; Antwerp, U.",,,Proper Pretreatment Systems Reduce Membrane Replacement Element Costs and Improve Reliability,,,ResearchGate,,,,,,,,2005,,,,,1
129,A129,NA,NA,NA,NA,NA,NA,NA,J,"Kolobukhina, LV; Nosik, NN; Merkulova, LN",,,Time course of leukocyte interferon induction after single and repeated application of panavir,,,ResearchGate,8,,49,52,,,,2009,,,,,1
130,A130,NA,NA,NA,NA,NA,NA,NA,J,"Kumar, G.; Brar, S.; Kumar, R.; Kumar, A.",,,A review: DWT-DCT technique and arithmetic-Huffman coding based image compression,,,ResearchGate,,,1,14,,,,2015,,,,,1
131,A131,NA,NA,NA,NA,NA,NA,NA,J,"Kviesis-Kipge, E.; Curkste, E.; Spigulis, J.; Eihvalde, L.",,,,,,ResearchGate,7715,,2010,2010,,,,2010,,,,,1
132,A132,NA,NA,NA,NA,NA,NA,NA,J,"Labruto, R.; Leroux, C",,,,,,A green paper on legal issues in robotics,,,,,,,,2013,,,,,1
133,A133,NA,NA,NA,NA,NA,NA,NA,J,,,,Strukturmodell des Rezeptors,,,ResearchGate,,,,,,,,2014,,,,,1
134,A134,NA,NA,NA,NA,NA,NA,NA,J,"Lampel, J.; Mintzberg, H.",,,Customizing Customization,,,ResearchGate,,,21,30,,,,1996,,,,,1
135,A135,NA,NA,NA,NA,NA,NA,NA,J,"Lee, D.; Mani, M.; Chu, W. W.",,,Solving Schema Conversion Problem between XML and Relational Models: Semantic Approach,,,ResearchGate,,,,,,,/7,2003,,,,,1
136,A136,NA,NA,NA,NA,NA,NA,NA,J,"Lee, S.; Nam, K.; Kim, K.",,,,,,Researchgate,,,,,,,,2004,,,,,1
137,A137,NA,NA,NA,NA,NA,NA,NA,J,"Li, G. W. Jia",,,,,,ResearchGate,,,4781,4781,,,,2007,,,,,1
138,A138,NA,NA,NA,NA,NA,NA,NA,J,"Li, L; Luo, Y",,,Improved Video Moving Target Tracking Based on Camshift,,,ResearchGate,3,2,8,15,,,,2016,,,,,1
139,A139,NA,NA,NA,NA,NA,NA,NA,J,"Lim, S.-J.; Jeong, Y.-Y.; Lee, C.-W.; Ho, Y.-S.",,,Automatic segmentation of the liver in CT images using the watershed algorithm based on morphological filtering,,,ResearchGate,,,,,,,(May) (,2004,,,,,1
140,A140,NA,NA,NA,NA,NA,NA,NA,J,LIN H,,,,,,RESEARCHGATE,6,,270,,,DOI 10.1177/1555412010364981,,2011,,,,,1
141,A141,NA,NA,NA,NA,NA,NA,NA,J,"Linden, PF; Turner, JS",,,"The formation of optimal vortex rings, and the efficiency of propulsion devices",,,ResearchGate,427,,61,72,,,,NA,,,,,1
142,A142,NA,NA,NA,NA,NA,NA,NA,J,"Liste, H.-H.; Felgentreu, D.",,,"Crop growth, culturable bacteria, and degradation of petrol hydrocarbons (PHCs) in a long-term contaminated field soil",,,ResearchGate,,,,,,,,2006,,,,,1
143,A143,NA,NA,NA,NA,NA,NA,NA,J,"Liu, B.; Wildman, R.; Tuck, C.; Ashcroft, I.; Hague, R.",,,Investigaztion the effect of particle size distribution on processing parameters optimisation in selective laser melting process,,,ResearchGate,,,,,,,Jan.,2011,,,,,1
144,A144,NA,NA,NA,NA,NA,NA,NA,J,"Liwicki, M.; Graves, A.; Bunke, H.",,,A novel approach to online handwriting recognition based on bidirectional long shortterm memory networks,,,ResearchGate,,,,,,,,2012,,,,,1
145,A145,NA,NA,NA,NA,NA,NA,NA,J,"Lopez-Lazaro, M.",,,,,,Pancreatic cancer formation is gradual,,,,,,,,2017,,,,,1
146,A146,NA,NA,NA,NA,NA,NA,NA,J,"Lopez-Lazaro, M",,,Understanding cancer: 15 questions and answers,,,ResearchGate,,,,,,,,2016,,,,,1
147,A147,NA,NA,NA,NA,NA,NA,NA,J,"Lujan-Tangarife, J. A.; Cardona-Arias, J. A.",,,Construction and validation of measurement scales in health: a review of psychometric properties,,,ResearchGate,11,,1,10,,,,2015,,,,,1
148,A148,NA,NA,NA,NA,NA,NA,NA,J,"M, Thantawi A.; S, Wicaksana I. W.; L, Wulandari",,,Query Rewriting Berbasis Semantik Menggunakan WordNet dan LCh pada Search Engine Google,,,Researchgate,,,,,,,,2013,,,,,1
149,A149,NA,NA,NA,NA,NA,NA,NA,J,"Margolin, L.",,,,,,ResearchGate,1,,1,28,,,,2013,,,,,1
150,A150,NA,NA,NA,NA,NA,NA,NA,J,"Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",,,Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces,,,SURFACE & COATINGS TECHNOLOGY,201,4-Mar,1282,1288,,10.1016/j.surfcoat.2006.01.062,OCT 5 2006,2006,,,,,11
151,A151,NA,NA,NA,NA,NA,NA,NA,J,"Marquardt, W.",,,,,,Traveling Waves in Chemical Processes,30,4,585,606,,,,1990,,,,,1
152,A152,NA,NA,NA,NA,NA,NA,NA,J,"Martinez, F.; Juanatey, B.",,,The challenge of the strategy in its adaptation to the emerging phenomenon of Netcomunicacion,,,ResearchGate,,14,37,55,,,,2010,,,,,1
153,A153,NA,NA,NA,NA,NA,NA,NA,J,"Mateljevic, M.",,,Note on rigidty of holomorphic mappings & Schwarz and Jack lemma,,,ResearchGate,,,,,,,September,2015,,,,,1
154,A154,NA,NA,NA,NA,NA,NA,NA,J,"Mathers, C.; Loncar, D",,,Projections of Global Mortality and Burden of Disease from 2002 to 2030,,,ResearchGate,31,110,,,,,,2006,,,,,1
155,A155,NA,NA,NA,NA,NA,NA,NA,J,"Matveev, V",,,What is your opinion on this paper?,,,Researchgate,,,,,,,,2014,,,,,1
156,A156,NA,NA,NA,NA,NA,NA,NA,J,"Mayalarp, V.; Limpaswadpaisarn, N.; Poombansao, T.; Kittipiyakul, S.",,,Wireless mesh networking with xbee,,,ResearchGate,,,,,,,10,2014,,,,,1
157,A157,NA,NA,NA,NA,NA,NA,NA,J,"McRobie, A",,,,,,Rankine reciprocals with zero bars,,,,,,,,2017,,,,,3
158,A158,NA,NA,NA,NA,NA,NA,NA,J,"Mehryar, N.; Ron, W.; Tek, M. N.",,,The Use of Virtual Reality in Education,,,ResearchGate,,,,,,,September,2004,,,,,1
159,A159,NA,NA,NA,NA,NA,NA,NA,J,"Meier, ML",,,Using X-ray diffraction to measure changes in unit cell dimensions due to alloying,,,ResearchGate,,,,,,,,2004,,,,,2
160,A160,NA,NA,NA,NA,NA,NA,NA,J,"Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",,,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",,,JOURNAL OF INVESTIGATIVE DERMATOLOGY,134,,S30,S30,,,Sep-14,2014,44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR),"SEP 10-13, 2014",European Soc Dermatol Res,"Copenhagen, DENMARK",9
161,A161,NA,NA,NA,NA,NA,NA,NA,J,"Michael, M. M.; Scott, M. L.",,,Correction of a Memory Manage-ment Method for Lock-Free Data Structures,,,ResearchGate,,,,,,,Mar.,1996,,,,,1
162,A162,NA,NA,NA,NA,NA,NA,NA,J,"Milligan, M.",,,Operating Reserves and Wind Power Integration: An International Comparison; Preprint,,,ResearchGate,,,,,,,Jan,2010,,,,,1
163,A163,NA,NA,NA,NA,NA,NA,NA,J,"Mishra, R. K.",,,"Soil pollution: Causes, effects and control",,,ResearchGate,3,1,,,,,January,2016,,,,,1
164,A164,NA,NA,NA,NA,NA,NA,NA,J,"Moffat, A. F. J.",,,A Theoretical Investigation of Focal Stellar Images in the Photographic Emulsion and Application to Photographic Photometry,,,ResearchGate,3,,455,455,,,,1969,,,,,1
165,A165,NA,NA,NA,NA,NA,NA,NA,J,"Muazzam, A.; Siddiqui, E.-S.; Mostafa, A. Saleh; Bagais",,,Extraction and Visualization of the Chain of Narrators from Hadiths using Named Entity Recognition and Classification,,,ResearchGate,5,1,,,,,Apr.,2014,,,,,1
166,A166,NA,NA,NA,NA,NA,NA,NA,J,"Na, K; Chaves, A; Pellegrino, JP",,,A simple device for quantitative stool thick-smear technique in Schistomiasis mansoni,,,ResearchGate,14,,397,400,,,,1971,,,,,1
167,A167,NA,NA,NA,NA,NA,NA,NA,J,"Namiki, M.; Ueda, M.; Todoroki, A.; Hirano, Y.; Matsuzaki, R.",,,3D printing of continuous fiber reinforced plastic,,,ResearchGate,,,,,,,Jan.,2014,,,,,1
168,A168,NA,NA,NA,NA,NA,NA,NA,J,"Naranjo-Madrigal, H.",,,Bajos Pesqueros en el Pacifico Norte de Costa Rica: Importancia ecologi-ca e implicaciones socio-economicas y de manejo,,,Researchgate. net.,,,,,,10.13140/RG.2.1.4326.2965,,2016,,,,,1
169,A169,NA,NA,NA,NA,NA,NA,NA,J,"Newman, Mark W.",,,Now We're Cooking: Recipes for End- User Service Composition in the Digital Home,,,ResearchGate,,,,,,,,NA,,,,,1
170,A170,NA,NA,NA,NA,NA,NA,NA,J,"Ng, K.H.; Faust, O.; Sudarshan, V.; Chattopadhyay, S.",,,"Data overloading in medical imaging: emerging issues, challenges and opportunities in efficient data management",,,ResearchGate,5,4,,,,,August,2015,,,,,1
171,A171,NA,NA,NA,NA,NA,NA,NA,J,"Nizar, M. A.",,,THE EFFECT OF TOURISM TO ECONOMIC GROWTH IN INDONESIA,,,ResearchGate,,,,,,,,2015,,,,,1
172,A172,NA,NA,NA,NA,NA,NA,NA,J,"Norman, L.; Thomas, D. N.",,,"Long-term storage of riverine dissolved organic carbon, Technical note",,,Researchgate,,,,,,10.13140/2.1.3331.5200,,2014,,,,,1
173,A173,NA,NA,NA,NA,NA,NA,NA,J,"Norman, L; Thomas, DN",,,Long-term storage of riverine dissolved organic carbon. Technical note,,,ResearchGate.,,,,,,10.13140/2.1.3331.5200,,2014,,,,,1
174,A174,NA,NA,NA,NA,NA,NA,NA,J,"Nzihou, Ange; Stanmore, B. R.",,,The Formation of Aerosols During the Co-combustion of Coal and Biomass,,,WASTE AND BIOMASS VALORIZATION,6,6,947,957,,10.1007/s12649-015-9390-3,Dec-15,2015,,,,,2
175,A175,NA,NA,NA,NA,NA,NA,NA,J,"O'Reilly-Shah, V; Mackey, S",,,,,,ResearchGate,,,,,,,,2011,,,,,1
176,A176,NA,NA,NA,NA,NA,NA,NA,J,"Oetzel, M.; Heger, G.; Koslowski, T.",,,Einfluss von Umgebungsfeuchte and Temperatur auf die Phasenumwandlungen im System CaSO<INF>4</INF>-H20,,,ResearchGate,53,,254,361,,,,2000,,,,,1
177,A177,NA,NA,NA,NA,NA,NA,NA,J,"Omboni, S.; Isasti, G.",,,How to Measure Interbeat Interval in Human Patients,,,ResearchGate,,,,,,,"Jan. 18,",2013,,,,,1
178,A178,NA,NA,NA,NA,NA,NA,NA,J,"Palatsi, J; Campos-Pozuelo, E; Torres, M; Porras, S; Flotats, X.",,,"Full-scale combination of anaerobic digestion and concentration by evaporation in Garrigues (Lleida, Spain): Evaluation after 2 years of operation",,,ResearchGate,,,,,,,,2005,,,,,1
179,A179,NA,NA,NA,NA,NA,NA,NA,J,"Patel, D. B.; Chauhan, K. R.; Mukhopadhyay, I.",,,"Effect of Electrode's geometric shape, thickness and porosity on the performance of dye sensitized solar cell, III",,,ResearchGate,,,8,19,,,,2014,,,,,1
180,A180,NA,NA,NA,NA,NA,NA,NA,J,"Payne, H. J.",,,Models of Freeway Traffic and Control,,,Research Gate,28,,51,61,,,Jan.,1971,,,,,1
181,A181,NA,NA,NA,NA,NA,NA,NA,J,"Perera, A. S.; Perrizo, W.",,,Gene Function Prediction,,,ResearchGate,,,26,31,,,,2009,,,,,1
182,A182,NA,NA,NA,NA,NA,NA,NA,J,"Petch, N.J.",,,The cleavage strength of polycrystals,,,ResearchGate,173,,25,28,,,,1953,,,,,1
183,A183,NA,NA,NA,NA,NA,NA,NA,J,"Petersen, B.; Gernaey, K.; Henze, M.; Vanrolleghem, P.A",,,Evaluation of an ASM 1 model calibration procedure on a municipal-industrial wastewater treatment plant,,,ResearchGate,4,,,,,,,2002,,,,,1
184,A184,NA,NA,NA,NA,NA,NA,NA,J,"Polovodova Asteman, I. R.; Schonfeld, J.",,,"Recent invasion of the foraminifer Nonionella stella Cushman & Moyer, 1930 in northern European waters: evidence from the Skagerrak and its Fjords",,,ResearchGate,35,1,,,,,,2015,,,,,1
185,A185,NA,NA,NA,NA,NA,NA,NA,J,"Popova, NA; Sheka, EF",,,Mechanochemical reaction in graphane under uniaxial tension,,,Researchgate,,,,,,,,2011,,,,,1
186,A186,NA,NA,NA,NA,NA,NA,NA,J,"Porter, M. F.",,,The porter stemming algorithm,,,ResearchGate,,,,,,,,2006,,,,,1
187,A187,NA,NA,NA,NA,NA,NA,NA,J,"Prahallad, Kishore; Sangal, Rajeev",,,A Data-Driven Synthesis Approach for Indian Languages using Syllable as aBasic Unit,,,ResearchGate,,,,,,,January,2002,,,,,1
188,A188,NA,NA,NA,NA,NA,NA,NA,J,"Prahl, S.",,,Optical property measurements using the inverse adding- doubling program,,,Researchgate,,,,,,,March,1995,,,,,1
189,A189,NA,NA,NA,NA,NA,NA,NA,J,"Pribyl, J.; Krejcova, H.; Pribylova, J.; Misztal, I.; Bohmanova, J",,,Trajectory of body weight of performance tested dual-purpose bulls.,,,ResearchGate,52,,,,,,,2007,,,,,1
190,A190,NA,NA,NA,NA,NA,NA,NA,J,"Qi, F; Shi, X-T; Liu, F-F; Yang, Z-H",,,A double inequality for an integral mean in terms of the exponential and logarithmic means,,,ResearchGate,,,,,,10.13140/RG.2.1.2353.6800,,2015,,,,,1
191,A191,NA,NA,NA,NA,NA,NA,NA,J,"Rabin, M.O.; Thorpe, C.",,,Time-laspe cryptography,,,ResearchGate,,,1,16,,,,2007,,,,,1
192,A192,NA,NA,NA,NA,NA,NA,NA,J,"Racuciu, M",,,,,,Researchgate,2015,,,,,,,2016,,,,,1
193,A193,NA,NA,NA,NA,NA,NA,NA,J,"Rao, J. G.; Zhang, Y. S.; Fokas, A. S.; He, J. S.",,,Rogue waves of the nonlocal Davey-Stewartson I equation,,,ResearchGate,,,,,,,,2017,,,,,1
194,A194,NA,NA,NA,NA,NA,NA,NA,J,,ResearchGate,,Researcher partly validates results of controversial stem cell study,,,ResearchGate,,,,,,,1-Apr,2014,,,,,1
195,A195,NA,NA,NA,NA,NA,NA,NA,J,,ResearchGate,,,,,ResearchGate,,,,,,,,2008,,,,,1
196,A196,NA,NA,NA,NA,NA,NA,NA,J,"Ribeiro, M J; Labrincha, J A; Ferreira, J",,,,,,Researchgate,,,1,19,,,,2003,,,,,1
197,A197,NA,NA,NA,NA,NA,NA,NA,J,"Rico, A.; Ruchkin, I.; Schmerl, B.; Garlan, D.",,,Hardware Power Modeling for Turtlebot,,,ResearchGate,,,,,,,Jul.,2016,,,,,1
198,A198,NA,NA,NA,NA,NA,NA,NA,J,"Roschek, T.",,,MICROMORPHrm Technology: introduction and the path to record efficiencies,,,ResearchGate,,,,,,10.13140/RG.2.1.1628.8804,,2015,,,,,1
199,A199,NA,NA,NA,NA,NA,NA,NA,J,"Roschek, T.",,,MICROMORPH&TRADE; Technology: Introduction and the Path to Record Efficiencies,,,ResearchGate,,,,,,,,2015,,,,,1
200,A200,NA,NA,NA,NA,NA,NA,NA,J,"Rossello-Busquet, Ana; Soler, Jose",,,Towards Efficient Energy Management: Defining HEMS and Smart Grid Objectives,,,ResearchGate,,,,,,,,NA,,,,,1
201,A201,NA,NA,NA,NA,NA,NA,NA,J,"Rouquerol, J.; Rouquerol, F.; Sing, K.S.W.",,,,,,ResearchGate,,,,,,,,1999,,,,,1
202,A202,NA,NA,NA,NA,NA,NA,NA,J,"Schindel, W.",,,What is the Smallest Model of a System?,,,ResearchGate,,,,,,,,2011,,,,,1
203,A203,NA,NA,NA,NA,NA,NA,NA,J,"Scrucca, L.; Fop, M.; Murphy, T. B.; Raftery, A. E.",,,"mclust 5: Clustering, Classification and Density Estimation Using Gaussian Finite Mixture Models",,,ResearchGate,8,1,204,233,,,,2016,,,,,1
204,A204,NA,NA,NA,NA,NA,NA,NA,J,"Serio, R.; Billack, B.",,,Potential Tumor Biomarkers for Ovarian Cancer,,,Researchgate. Net,125,,,,,,,2011,,,,,1
205,A205,NA,NA,NA,NA,NA,NA,NA,J,"Set, E; Choi, J; Celik, B",,,A new approach to generalized of Hermite-Hadamard inequality using fractional integral operator,,,ResearchGate,,,,,,,,NA,,,,,1
206,A206,NA,NA,NA,NA,NA,NA,NA,J,"Set, E; Celik, B",,,On generalization related to the left side of Fejer's inequalites via fractional integral operator,,,ResearchGate,,,,,,,,NA,,,,,1
207,A207,NA,NA,NA,NA,NA,NA,NA,J,"Set, E; Akdemir, AO; Celik, B",,,On generalization of Fejer type inequalities via fractional integral operator,,,ResearchGate,,,,,,,,NA,,,,,1
208,A208,NA,NA,NA,NA,NA,NA,NA,J,"Shabila, N",,,Assessment of the Iraqi primary care referral system: reporting a high self-requested referral rate,,,ResearchGate.,10,3,4,10,,,,2012,,,,,1
209,A209,NA,NA,NA,NA,NA,NA,NA,J,"Shackleford, JA; Shusharina, N; Verberg, J",,,Plastimatch 1. 6-current capabilities and future directions,,,ResearchGate,,,108,119,,,,2012,,,,,1
210,A210,NA,NA,NA,NA,NA,NA,NA,J,"Shalashvili, A.; Ugrekhelidze, D.; Mitaishvili, T.; Targamadze, I.; Zambakhidze, N.",,,"Phenolic compounds of wines from georgian autochthonous grapes, rkatsiteli and saperavi, prepared by georgian (kakhetian) technology",,,ResearchGate,6,,99,103,,,,2012,,,,,2
211,A211,NA,NA,NA,NA,NA,NA,NA,J,"Sharbrough, FW; Chatrian, GE; Lesser, RP; Luders, H; Nuwer, M; Picton, TW",,,Guideline thirteen: Guidelines for standard electrode position nomenclature American Electroencephalographic Society J Clin Neurophysiol 1994 11 111 113 8195414,,,ResearchGate,8,,200,202,,,,1991,,,,,1
212,A212,NA,NA,NA,NA,NA,NA,NA,J,"Shen, L.Y.X.W.Y.Y. Chao",,,An experimental and numerical study of defouling evaporator used in a wastewater source heat pump,,,ResearchGate,,,,,,,,2014,,,,,1
213,A213,NA,NA,NA,NA,NA,NA,NA,J,"Singh, V. P.; Chowdhury, P. K",,,On Fitting Gamma Distrubution to Synthetic Runoff Hydrographs,,,Research Gate,l6,,,,,,,1985,,,,,1
214,A214,NA,NA,NA,NA,NA,NA,NA,J,"Steeg, T.",,,Systems thinking and practice: a review and analysis of key ideas and their implications for practice in design & technology education,,,ResearchGate,,,203,214,,,,2000,,,,,1
215,A215,NA,NA,NA,NA,NA,NA,NA,J,"Stensrud, B. S.; Barrett, G. C.; Lisetti, C. L.; Gonzalez, A.",,,Modeling affect in context based reasoning,,,ResearchGate,,,,,,,,2015,,,,,1
216,A216,NA,NA,NA,NA,NA,NA,NA,J,"Stephant, N.",,,In: Why during SEM-EDX We Cannot Detect Nitrogen However on the Element Map Nitrogen Is Detected what Reason Could Someone Explain,,,Researchgate,,,,,,,,2016,,,,,1
217,A217,NA,NA,NA,NA,NA,NA,NA,J,"Straatman, J; van der Peet, DL",,,C- reactive protein after major ab- dominal surgery: biochemical and clinical aspects,,,ResearchGate [Internet],,,2,2,,,,2015,,,,,1
218,A218,NA,NA,NA,NA,NA,NA,NA,J,"Sukassini, M.; Velmurugan, T.",,,Nois removal using Morphology and Median filter Methods in Mammogram Images,,,ResearchGate,,,413,419,,,,2016,,,,,1
219,A219,NA,NA,NA,NA,NA,NA,NA,J,"Sulthan, S. M.",,,Fuzzy based Maximum Power Point Tracking Controller for Stand alone Photovoltaic system using MATLAB/Simulink,,,ResearchGate,10,55,,,,,May,2015,,,,,1
220,A220,NA,NA,NA,NA,NA,NA,NA,J,"Takacs, Barnabas; Hanak, David",,,A mobile system for assisted living with ambient facial interfaces,,,ResearchGate,2,,33,50,,,,2006,,,,,1
221,A221,NA,NA,NA,NA,NA,NA,NA,J,"Takamura, K.; Ueda, Y.; Irie, U.; Yamaguchi, Y.",,,Immunohistology with antibodies specific to test cells in the ascidian Ciona intestinalis suggests their role in larval tunic formation,,,ResearchGate.,13,,241,251,,,,2009,,,,,1
222,A222,NA,NA,NA,NA,NA,NA,NA,J,"Tan, W.; Hunley, P.; St Omer, I.",,,Properties of silicon carbide nanotubes formed via reaction of SiO2 powder with SWCNTs and MWCNTs,,,ResearchGate.,,,,,,DOI 10.1109/SECON.2009.5174082,,2009,,,,,1
223,A223,NA,NA,NA,NA,NA,NA,NA,J,Tan Yue; Gao Dong-sheng; Li Ling; Wet Hai-rong; Wang Jia-wei; Liu Qing-zhong,,,Relationships between H2O2 metabolism and Ca2+ transport in dormancy-breaking process of nectarine floral buds.,,,Yingyong Shengtai Xuebao,26,2,425,429,1001-9332(2015)26:2<425:YTHYPM>2.0.TX;2-R,,Feb-15,2015,,,,,1
224,A224,NA,NA,NA,NA,NA,NA,NA,J,"Tawatwachoom, T.; Khottoom, N.; Wairuangsiripon, S.; Rungrojchaipon, P.",,,,,,Researchgate,,,1,1,,DOI 10.13140/RG.2.1.2669.5847,,2015,,,,,1
225,A225,NA,NA,NA,NA,NA,NA,NA,J,"Terenin, Alexander; Draper, David",,,Rigorizing and Extending the Cox-Jaynes Derivation of Probability: Implications for Statistical Practice,,,ResearchGate.net,,,,,,,,2015,,,,,1
226,A226,NA,NA,NA,NA,NA,NA,NA,J,"Thomas, J.",,,The Geometry of Polychronous Wavefront Computation,,,ResearchGate,,,,,,,,2015,,,,,1
227,A227,NA,NA,NA,NA,NA,NA,NA,J,"Thomas, J.",,,A Mathematical Treatise on Polychronous Wavefront Computation and its Application into Modeling Neurosensory Systems,,,ResearchGate,,,,,,,,2014,,,,,2
228,A228,NA,NA,NA,NA,NA,NA,NA,J,"Ticinesi, A.; Lauretani, F.; Nouvenne, A.; Porro, E.; Fanelli, G.; Maggio, M.; Meschi, T.",,,C-Reactive Protein (CRP) Measurement in Geriatric Patients Hospitalized for Acute Infection,,,ResearchGate.,,,,,,,,2016,,,,,1
229,A229,NA,NA,NA,NA,NA,NA,NA,J,"Torres, J.",,,Identity Management Requirements in Future Internet,,,ResearchGate,,,,,,,Nov.,2012,,,,,1
230,A230,NA,NA,NA,NA,NA,NA,NA,J,"Totten, G. E.",,,,,,Polymer quenchants for induction heat treating applications: the basics,,,,,,,,2000,,,,,1
231,A231,NA,NA,NA,NA,NA,NA,NA,J,"Trapero, J.R.",,,Estimation of solar irradiation prediction intervals combining volatility and kernel density estimates,,,ResearchGate,,,,,,,,2015,,,,,1
232,A232,NA,NA,NA,NA,NA,NA,NA,J,"Trotteyn, M. J.",,,Nuevas evidencias del desarrollo del floculo en el cerebelo de arcosauriformes: variabilidad e implicancias paleobiologicas,,,Research Gate,,,,,,,,2015,,,,,1
233,A233,NA,NA,NA,NA,NA,NA,NA,J,"Tversky, A; Kahneman, D",,,Evidential Impact of Base Rates,,,ResearchGate.,,,29,29,,,,1981,,,,,1
234,A234,NA,NA,NA,NA,NA,NA,NA,J,"Ukani, Vijay; Thacker, Dhaval",,,,,,QoS Aware Geographic Routing Protocol for Multimedia Transmission in Wireless Sensornetwork,,,,,,DOI 10.1109/NUICONE.2015.7449639,November,2015,,,,,1
235,A235,NA,NA,NA,NA,NA,NA,NA,J,"Valverde-Rebaza, J; Valejo, A",,,a naive bayes model based on ovelapping groups for link prediction in online social networks,,,researchgate,,,,,,,,2015,,,,,1
236,A236,NA,NA,NA,NA,NA,NA,NA,J,"van Borkulo, CD; Waldorp, LJ; Boschloo, L",,,Comparing network structures on three aspects: a permutation test,,,ResearchGate,,,,,,,,NA,,,,,1
237,A237,NA,NA,NA,NA,NA,NA,NA,J,"van der Weijde, A. H.; Hobbs, B. F.",,,Planning electricity transmission to accommodate renewables: Using two-stage programming to evaluate flexibility and the cost of disregarding uncertainty,,,Research Gate,34,6,,,,,Nov.,2012,,,,,1
238,A238,NA,NA,NA,NA,NA,NA,NA,J,"Van Keulen, M; Otten, W; Ruiter, R; Van Steenbergen, J; Fekkes, M; Paulussen, TW",,,Researchgate,,,Redenen om zich te laten vaccineren tegen HPV,,,,,,,,2013,,,,,1
239,A239,NA,NA,NA,NA,NA,NA,NA,J,"Vanrolleghem, P.A.; Insel, G.; Petersen, B.; Sin, G.; Pauw, D.D.; Nopens, I.; Dovermann, H.; Weijers, S.; Gernaey, K",,,A comprehensive model calibration procedure for activated sludge models,,,ResearchGate,,,,,,,,2003,,,,,1
240,A240,NA,NA,NA,NA,NA,NA,NA,J,"Velmurugan, D. T.",,,Efficiency of k-Means and K-Medoids Algorithms for Clustering Arbitrary Data Points,,,ResearchGate,3,5,1758,1764,,,Oct.,2012,,,,,1
241,A241,NA,NA,NA,NA,NA,NA,NA,J,"Verdelhos, T.; Cardoso, P.G.; MaP, M.D",,,"Latitudinal gradients in Scrobicularia plana reproduction patterns, population dynamics, growth, and secondary production",,,ResearchGate,442,,,,,,,2011,,,,,1
