CID,AID,CitedAs,Locatable,PT,AU,BA,BE,GP,AF,BF,TI,SO,SE,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
C293,A141,Title,No,J,"Zhang, Y; Yu, T; Chen, JL; Zhang, YG; Feng, J; Tu, S; Yu, HM",NA,NA,NA,"Zhang, Yan; Yu, Ting; Chen, Ji-lei; Zhang, You-guang; Feng, Jian; Tu, Sa; Yu, Haiming",NA,Antenna design for propagating spin wave spectroscopy in ferromagnetic thin films,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In this paper, we investigate the characteristics of antenna for propagating-spin-wave-spectroscopy (PSWS) experiment in ferromagnetic thin films. Firstly, we simulate the amplitude and phase distribution of the high-frequency magnetic field around antenna by high frequency structure simulator (HFSS). And then k distribution of the antenna is obtained by fast Fourier transformation (FFT). Furthermore, three kinds of antenna designs, i.e. micro-strip line, coplanar waveguide (CPW), loop, are studied and compared. How the dimension parameter of antenna influence the corresponding high-frequency magnetic field amplitude and k distribution are investigated in details. (C) 2017 Elsevier B.V. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0304-8853,1873-4766,NA,NA,NA,15-Mar,2018,450,NA,NA,NA,NA,24,28,NA,10.1016/j.jmmm.2017.04.048,NA,NA,NA,NA,NA,NA,NA,WOS:000419100800006,NA,NA,NA,NA,NA
C294,A142,Title,Yes,B,"Mohamed, K; Mohamed, O; Hamoudi, M; Masmoudi, M",NA,NA,IEEE,"Mohamed, Khelf; Mohamed, Ouslim; Hamoudi, M.; Masmoudi, M.",NA,QoS evaluation in VoIP software with and without Blowfish encryption module,"3RD INTERNATIONAL CONFERENCE ON CONTROL, ENGINEERING & INFORMATION TECHNOLOGY (CEIT 2015)",NA,NA,NA,INTERNATIONAL CONFERENCE ON CONTROL ENGINEERING & INFORMATION TECHNOLOGY (CEIT),"MAY 25-27, 2015","Tlemcen, ALGERIA",NA,NA,NA,NA,"Voice over Internet Protocol (VoIP) represents considerable cost savings in comparison with traditional phone lines. VoIP, operates in the IP network, therefore it inherits all network security and safety problems. Consequently, implementing VoIP without any security mechanisms produces many risks and it does not provide any guaranty of privacy of information and calls. It is possible to use the encryption in order to secure the calls. However, VoIP is a real time application and using encryption degrades the quality of service (QoS) by increasing the delay and the jitter. In this paper, we propose the use of the Blowfish encryption algorithm to encrypt the audio communication between the VoIP clients as the used algorithm was previously compared to the Advanced Encryption Standard (AES) algorithm, and it was shown that it is faster and it offers a better throughput. In this study, we developed VoIP clients and we performed many experimental tests on these clients with the implemented algorithm in order to provide security without degradation of the quality of calls. The obtained results show an acceptable compromise among all performance parameters and they are considered motivating and very encouraging.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978-1-4799-8213-4,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000380433000045,NA,NA,NA,NA,NA
C295,A143,URL;Title,Yes,J,"Abbe, E; Schuler, T; Klosz, S; Starruss, E; Pilz, W; Bottger, R; Kluge, O; Schmiel, T; Tajmar, M",NA,NA,NA,"Abbe, Elisabeth; Schueler, Tilman; Klosz, Stefan; Starruss, Elisa; Pilz, Wolfgang; Boettger, Roman; Kluge, Oliver; Schmiel, Tino; Tajmar, Martin",NA,Electrical behaviour of carbon nanotubes under low-energy proton irradiation,JOURNAL OF NUCLEAR MATERIALS,NA,English,Article,NA,NA,NA,NA,NA,Mulltiwalled carbon nanotubes; Single walled carbon nanotubes; Irradation; Protons; Enviromental behaviour,IONS; TRANSISTORS; COATINGS; NETWORKS,"Several applications for carbon nanotubes (CNT) have been proposed for space applications in the last years. However, their behaviour in the harsh space environment is mostly unknown. Energetic particles such as protons can influence the material degradation in space. This material damage could result in a system failure of space systems. Therefore it is necessary to investigate the performance of new materials under proton irradiation. Screen and jet printed disordered single-walled carbon nanotubes (SWNT), multi-walled carbon nanotubes (MWNT) and multi-walled carbon nanotubes/resin composites (ME) were exposed to 1 keV, 15 keV and 100 keV protons. The electrical behaviour of the CNT conductor paths was measured during the experiment. After this exposure, the CNTs were analyzed using Raman scattering and a scanning electron microscope (SEM). Their is a clear evidence that proton radiation can destroy carbon nanotubes and influence their electrical performance. (C) 2017 Elsevier B.V. All rights reserved.","[Abbe, Elisabeth; Schueler, Tilman; Pilz, Wolfgang; Kluge, Oliver; Schmiel, Tino; Tajmar, Martin] Tech Univ Dresden, Inst Aerosp Engn, Dresden, Germany; [Klosz, Stefan] Tech Univ Dresden, Chair Phys Chem, Dresden, Germany; [Starruss, Elisa] Fraunhofer Dresden, Inst Mat & Beam Technol IWS, Dresden, Germany; [Boettger, Roman] Helmholtz Zentrum Dresden Rossendorf, Inst Ion Beam Phys & Mat Res, Dresden, Germany","Abbe, E (reprint author), Tech Univ Dresden, Inst Aerosp Engn, Dresden, Germany.",elisabeth.abbe@tu-dresden.de,NA,NA,Fraunhofer Institute IWS Dresden; chair of physical chemistry of the Technische Universitat Dresden; Deutsches Zentrum fur Luft- und Raumfahrt (DLR) on behalf of Bundesministeriums fur Wirtschaft und Energie (BMWI) [FKZ 50YB1409],"The authors would like to thank the Fraunhofer Institute IWS Dresden and the chair of physical chemistry of the Technische Universitat Dresden for their support. This work was partly funded by Deutsches Zentrum fur Luft-und Raumfahrt (DLR) on behalf of Bundesministeriums fur Wirtschaft und Energie (BMWI, FKZ 50YB1409). Parts of this research were carried out at IBC at the Helmholtz-Zentrum Dresden-Rossendorf e. V., a member of the Helmholtz Association.",42,0,0,4,10,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0022-3115,1873-4820,NA,J NUCL MATER,J. Nucl. Mater.,NOV,2017,495,NA,NA,NA,NA,299,305,NA,10.1016/j.jnucmat.2017.08.032,NA,NA,NA,7,"Materials Science, Multidisciplinary; Nuclear Science & Technology",Materials Science; Nuclear Science & Technology,FK6DX,WOS:000413594400035,NA,NA,NA,NA,10/15/2018
C296,A144,Title,No,J,"Zhang, Y; Yu, T; Chen, JL; Zhang, YG; Feng, J; Tu, S; Yu, HM",NA,NA,NA,"Zhang, Yan; Yu, Ting; Chen, Ji-lei; Zhang, You-guang; Feng, Jian; Tu, Sa; Yu, Haiming",NA,Antenna design for propagating spin wave spectroscopy in ferromagnetic thin films,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In this paper, we investigate the characteristics of antenna for propagating-spin-wave-spectroscopy (PSWS) experiment in ferromagnetic thin films. Firstly, we simulate the amplitude and phase distribution of the high-frequency magnetic field around antenna by high frequency structure simulator (HFSS). And then k distribution of the antenna is obtained by fast Fourier transformation (FFT). Furthermore, three kinds of antenna designs, i.e. micro-strip line, coplanar waveguide (CPW), loop, are studied and compared. How the dimension parameter of antenna influence the corresponding high-frequency magnetic field amplitude and k distribution are investigated in details. (C) 2017 Elsevier B.V. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0304-8853,1873-4766,NA,NA,NA,15-Mar,2018,450,NA,NA,NA,NA,24,28,NA,10.1016/j.jmmm.2017.04.048,NA,NA,NA,NA,NA,NA,NA,WOS:000419100800006,NA,NA,NA,NA,NA
C297,A145,Title,Yes,B,"Manekiya, MH; Arulmozhivarman, P",NA,NA,IEEE,"Manekiya, Mohammedhusen H.; Arulmozhivarman, P.",NA,3D Volume Reconstruction using Hologram,"2016 INTERNATIONAL CONFERENCE ON COMMUNICATION AND SIGNAL PROCESSING (ICCSP), VOL. 1",NA,English,Proceedings Paper,IEEE International Conference on Communication and Signal Processing (ICCSP),"APR 06-08, 2016","Adhiparasakthi Engn Coll, Dept Elect & Commun Engn, Melmaruvathur, INDIA","IEEE, IEEE Madras Sect","Adhiparasakthi Engn Coll, Dept Elect & Commun Engn",3D Image Reconstruction; 3D Hologram; Video Reconstruction,NA,"3D volume reconstruction technology is the new sign of future technology and communications. In 2008 this technology first received attention worldwide by Prince Charles addressed the World future energy summit and made his first appearance as a hologram in a bid to reduce the royal carbon footprint. In past it is known as the pepper's ghost technique. The same way using the light illusion ghost is made at the stage. Now this technology has been used improved and create fun. It means that production costs should be minimal with a limited product environment and promising the glass free viewing. It has various application in every fields of business, education, telecommunication and healthcare, etc.","[Manekiya, Mohammedhusen H.] VIT Univ, Vellore 632014, Tamil Nadu, India; [Arulmozhivarman, P.] VIT Univ, Sch Elect Engn, Vellore 632014, Tamil Nadu, India","Manekiya, MH (reprint author), VIT Univ, Vellore 632014, Tamil Nadu, India.",amvarman@gmail.com,NA,NA,NA,NA,16,0,0,0,2,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",NA,NA,978-1-5090-0396-9,NA,NA,NA,2016,NA,NA,NA,NA,NA,1570,1574,NA,NA,NA,NA,NA,5,"Engineering, Electrical & Electronic; Telecommunications",Engineering; Telecommunications,BG7LT,WOS:000391430100331,NA,NA,NA,NA,10/15/2018
C298,A146,Title,Yes,B,"Zeb, A; Asim, M; Ali, W; Mufti, N",NA,NA,IEEE,"Zeb, Arsalan; Asim, Muhammad; Ali, Waleed; Mufti, Naveed",NA,Performance Analysis of WLAN in the presence of Co-Frequency Microwaves,2017 INTERNATIONAL CONFERENCE ON COMMUNICATION TECHNOLOGIES (COMTECH),NA,NA,NA,International Conference on Communication Technologies (ComTech),"APR 19-21, 2017","Natl Univ Sci & Technol, Military Coll Signals, Rawalpindi, PAKISTAN",IEEE Islamabad Sect,"Natl Univ Sci & Technol, Military Coll Signals",NA,NA,"Microwave Oven (MWO) and Wireless Local Area Network (WLAN) both operate in the 2.4 GHz Industrial, Scientific and Medical (ISM) Band. Microwave oven does not take care of Wi-Fi channel usage; its operation in the same band of frequency can cause degradation of Wi-Fi network performance. This novel experimental arrangement investigates the performance of the WLAN network under the effect of simultaneous operation of two Microwave ovens, in different physical arrangement scenarios. The experiment consists of two laptops as victims, two microwave ovens as interferers, WLAN Access Point as Transmitter and AirMagnet Hardware/Software setup as Performance Analyser. Different Performance Indicators of WLAN performance are analysed in this investigation. It has been observed that Wi-Fi network performance degradation increases significantly when both microwave ovens are located near the receiver (Laptop) side. The microwave ovens have relatively lesser adverse effects when both are placed near the transmitter (Access point) or at center (between transmitter and receiver).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978-1-5090-5984-3,NA,NA,NA,2017,NA,NA,NA,NA,NA,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000428611600002,NA,NA,NA,NA,NA
C299,A147,Title,Yes,J,"Anchordoquy, JP; Anchordoquy, JM; Pascua, AM; Nikoloff, N; Peral-Garcia, P; Furnus, CC",NA,NA,NA,"Anchordoquy, J. P.; Anchordoquy, J. M.; Pascua, A. M.; Nikoloff, N.; Peral-Garcia, P.; Furnus, C. C.",NA,The copper transporter (SLC31A1/CTR1) is expressed in bovine spermatozoa and oocytes: Copper in IVF medium improves sperm quality,THERIOGENOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adequate dietary intake of copper (Cu) is required for normal reproductive performance in cattle. The objective of this study was to investigate the pregnancy rates from cattle with deficient, marginal and adequate Cu plasma concentration at the beginning of artificial insemination protocol. Moreover, we determined Cu concentrations present in bovine oviductal fluid (OF), and the effects of Cu on fertilizing ability of bovine spermatozoa. Also, the presence of Cu transporter, SLC31A1 (also known as CTR1), in spermatozoa and in vitro matured oocyte were investigated. We found no differences in pregnancy rates among animals with adequate, marginal, and deficient Cu concentrations measured in plasma at the beginning of fixed-time artificial insemination (FTAI) protocol. Copper concentrations in OF were 383 +/- 2.17 mu g/dL (mean +/- SEM) regardless of cupremia levels. The addition of 40 mu g/dL Cu to IVF medium enhanced total and progressive motility, sperm viability, functional sperm membrane integrity (HOST), sperm zona binding, and pronuclear formation. On the other hand, the presence of Cu in IVF medium did not modify acrosome integrity and cleavage rates after IVF, but impaired blastocyst rates. Cu transporter SLC31A1 was detected in bovine spermatozoa in the apical segment of acrosome, and in the oocyte matured in vitro. In conclusion, the results obtained in the present study determined that cupremia levels at the beginning of FTAI protocol did not influence the pregnancy rates at 60 d after insemination. The presence of CTR1 in bovine mature oocyte and spermatozoa, as well as the beneficial effect of Cu on sperm quality would suggest an important role of this mineral during the fertilization process. (C) 2017 Elsevier Inc. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0093-691X,1879-3231,NA,NA,NA,15-Jul,2017,97,NA,NA,NA,NA,124,133,NA,10.1016/j.theriogenology.2017.04.037,NA,NA,NA,NA,NA,NA,NA,WOS:000403386900017,28583595,NA,NA,NA,NA
C300,A148,URL;Title,Yes,B,"Abdelfattah, AS; Abdelkader, T; EI-Horbaty, ESM",NA,NA,IEEE,"Abdelfattah, Amr S.; Abdelkader, Tamer; EI-Horbaty, EI-Sayed M.",NA,Reliable Web Services Approaches of Mobile Cloud Computing: A Comparative study,2015 IEEE SEVENTH INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTING AND INFORMATION SYSTEMS (ICICIS),NA,NA,NA,IEEE Seventh International Conference on Intelligent Computing and Information Systems (ICICIS),"DEC 12-14, 2015","CAIRO, EGYPT",NA,NA,NA,NA,"The Mobile intermittent wireless connectivity limits the evolution of the mobile landscape, such that this progress coupled with the ubiquitous nature of the Internet and the web services. The web service Reliability achieves the low overhead communication and retrieves the appropriate state response from the web service consumption. This paper discusses and analyzes the most recent approaches that achieve the reliability of web services consumed by mobile devices. Achieving the reliable web service consumption is tended to two approaches: Middleware approach and Mobile Agent (MA) approach. Both of them focus on ensuring the request execution under the communication limitations and services temporary unavailability.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978-1-5090-1949-6,NA,NA,NA,2015,NA,NA,NA,NA,NA,217,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000380470400033,NA,NA,NA,NA,NA
C301,A149,URL;Title,Yes,B,"Ushakov, YA; Polezhaev, PN; Shukhman, AE; Legashev, LV; Bakhareva, NF",NA,"Pavlyukova, E; Uzhinskaya, L; Suroegina, Z",NA,"Ushakov, Yu. A.; Polezhaev, P. N.; Shukhman, A. E.; Legashev, L. V.; Bakhareva, N. F.",NA,Simulation of a Corporate Network Based on Software-Defined Infrastructure and Network Function Virtualization,2017 FOURTH INTERNATIONAL CONFERENCE ON ENGINEERING AND TELECOMMUNICATION (EN&T),NA,NA,NA,4th International Conference on Engineering and Telecommunication (EnT),"NOV 29-30, 2017","Moscow, RUSSIA","IEEE AESS, Moscow Inst Phys & Technol, Tsinghua Univ, Univ Crne Gore, Radiophys & Satellite Commun Lab, Natl Instruments, Parallels, Acronis, Virtuozzo, OPTK, MUCT, IEEE",NA,NA,NA,"There is a problem of creating the models of modern software-defined and software-configurable infrastructure components. Many simulation platforms do not have tools for implementing such models. This paper describes the features of corporate virtualized network infrastructures. The approach to creating an abstracted model of a part of the infrastructure based on virtual prototype studies is considered, a simulation scheme for a switch and a controller for software-defined infrastructure is proposed.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978-1-5386-4547-5,NA,NA,NA,2017,NA,NA,NA,NA,NA,42,46,NA,10.1109/ICEnT.2017.16,NA,NA,NA,NA,NA,NA,NA,WOS:000427144900010,NA,NA,NA,NA,NA
C302,A150,URL;Title,Yes,J,"Lassuthova, P; Rebelo, AP; Ravenscroft, G; Lamont, PJ; Davis, MR; Manganelli, F; Feely, SM; Bacon, C; Brozkova, DS; Haberlova, J; Mazanec, R; Tao, FF; Saghira, C; Abreu, L; Courel, S; Powell, E; Buglo, E; Bis, DM; Baxter, MF; Ong, RW; Marns, L; Lee, YC; Bai, YH; Isom, DG; Barro-Soria, R; Chung, KW; Scherer, SS; Larsson, HP; Laing, NG; Choi, BO; Seeman, P; Shy, ME; Santoro, L; Zuchner, S",NA,NA,NA,"Lassuthova, Petra; Rebelo, Adriana P.; Ravenscroft, Gianina; Lamont, Phillipa J.; Davis, Mark R.; Manganelli, Fiore; Feely, Shawna M.; Bacon, Chelsea; Brozkova, Dana Safka; Haberlova, Jana; Mazanec, Radim; Tao, Feifei; Saghira, Cima; Abreu, Lisa; Courel, Steve; Powell, Eric; Buglo, Elena; Bis, Dana M.; Baxter, Megan F.; Ong, Royston W.; Marns, Lorna; Lee, Yi-Chung; Bai, Yunhong; Isom, Daniel G.; Barro-Soria, Rene; Chung, Ki W.; Scherer, Steven S.; Larsson, H. Peter; Laing, Nigel G.; Choi, Byung-Ok; Seeman, Pavel; Shy, Michael E.; Santoro, Lucio; Zuchner, Stephan",NA,Mutations in ATP1A1 Cause Dominant Charcot-Marie-Tooth Type 2,AMERICAN JOURNAL OF HUMAN GENETICS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Although mutations in more than 90 genes are known to cause CMT, the underlying genetic cause of CMT remains unknown in more than 50% of affected individuals. The discovery of additional genes that harbor CMT2-causing mutations increasingly depends on sharing sequence data on a global level. In this way-by combining data from seven countries on four continents-we were able to define mutations in ATP1A1, which encodes the alpha1 subunit of the Na+, K+-ATPase, as a cause of autosomal-dominant CMT2. Seven missense changes were identified that segregated within individual pedigrees: c.143T>G (p.Leu48Arg), c.1775T>C (p.Ile592Thr), c.1789G>A (p.Ala597Thr), c.1801_1802delinsTT (p.Asp601Phe), c.1798C>G (p.Pro600Ala), c.1798C>A (p.Pro600Thr), and c.2432A>C (p.Asp811Ala). Immunostaining peripheral nerve axons localized ATP1A1 to the axolemma of myelinated sensory and motor axons and to Schmidt-Lanterman incisures of myelin sheaths. Two-electrode voltage clamp measurements on Xenopus oocytes demonstrated significant reduction in Na+ current activity in some, but not all, ouabain-insensitive ATP1A1 mutants, suggesting a loss-of-function defect of the Na+, K+ pump. Five mutants fall into a remarkably narrow motif within the helical linker region that couples the nucleotide-binding and phosphorylation domains. These findings identify a CMT pathway and a potential target for therapy development in degenerative diseases of peripheral nerve axons.",NA,NA,NA,NA,"Laing, Nigel/0000-0001-5111-3732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0002-9297,1537-6605,NA,NA,NA,1-Mar,2018,102,3,NA,NA,NA,505,514,NA,10.1016/j.ajhg.2018.01.023,NA,NA,NA,NA,NA,NA,NA,WOS:000426469600021,29499166,NA,NA,NA,NA
C303,A151,Title,Yes,S,"Chen, SH; Su, HN",NA,"Kocaoglu, DF; Anderson, TR; Daim, TU; Kozanoglu, DC; Niwa, K; Perman, G; Steenhuis, HJ",NA,"Chen, Ssu-Hua; Su, Hsin-Ning",NA,Ambidexterity of Innovative Capability and Economic Performance,2017 PORTLAND INTERNATIONAL CONFERENCE ON MANAGEMENT OF ENGINEERING AND TECHNOLOGY (PICMET),Portland International Conference on Management of Engineering and Technology,NA,NA,Portland International Conference on Management of Engineering and Technology (PICMET),"JUL 09-13, 2017","Portland, OR","Portland State Univ, Dept Engn & Technol Management, Portland State Univ Fdn",NA,NA,NA,"The economic performance of countries is defined as an assessment for a country of its success in global markets related to its knowledge base, innovative capabilities and overall market strength. Technological diversification is considered as one of the factors of economic growth. Therefore, the article investigates the extent to which technological diversification affects economic development and how capabilities approach economic performance of a country. Technological diversification is a phenomenon that extends a firm's technology base into a wide range of technology fields. Whereas previous studies have provided insights into the connection between technological diversification and firms' performance, little is known about the influence of technological diversification on countries' innovative performance and trends. The purpose of the paper is to examine the relationship among technological diversification and economic performance at country level. A heuristic framework for depicting how a country's capability interacts with its economic growth is proposed in this study to contribute to technology and innovation management.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2159-5100,NA,978-1-890843-36-6,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000419843900120,NA,NA,NA,NA,NA
C304,A152,URL;Title,Yes,J,"Borsuk, G; Ptaszynska, AA; Olszewski, K; Domaciuk, M; Krutmuang, P; Paleolog, J",NA,NA,NA,"Borsuk, Grzegorz; Ptaszynska, Aneta A.; Olszewski, Krzysztof; Domaciuk, Marcin; Krutmuang, Patcharin; Paleolog, Jerzy",NA,A New Method for Quick and Easy Hemolymph Collection from Apidae Adults,PLOS ONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bio-analysis of insects is increasingly dependent on highly sensitive methods that require high quality biological material, such as hemolymph. However, it is difficult to collect fresh and uncontaminated hemolymph from adult bees since they are very active and have the potential to sting, and because hemolymph is rapidly melanized. Here we aimed to develop and test a quick and easy method for sterile and contamination-free hemolymph sampling from adult Apidae. Our novel antennae method for hemolymph sampling (AMHS), entailed the detachment of an antenna, followed by application of delicate pressure to the bee's abdomen. This resulted in the appearance of a drop of hemolymph at the base of the detached antenna, which was then aspirated using an automatic pipetter. Larger insect size corresponded to easier and faster hemolymph sampling, and to a greater sample volume. We obtained 80-100 mu L of sterile non-melanized hemolymph in 1 minute from one Bombus terrestris worker, in 6 minutes from 10 Apis mellifera workers, and in 15 minutes from 18 Apis cerana workers (+/-0.5 minutes). Compared to the most popular method of hemolymph collection, in which hemolymph is sampled by puncturing the dorsal sinus of the thorax with a capillary (TCHS), significantly fewer bees were required to collect 80-100 mu L hemolymph using our novel AMHS method. Moreover, the time required for hemolymph collection was significantly shorter using the AMHS compared to the TCHS, which protects the acquired hemolymph against melanization, thus providing the highest quality material for biological analysis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA,NA,NA,26-Jan,2017,12,1,NA,NA,NA,NA,NA,e0170487,10.1371/journal.pone.0170487,NA,NA,NA,NA,NA,NA,NA,WOS:000396176100103,28125668,NA,NA,NA,NA
C305,A153,Original,Yes,J,"Lin, HQ; Thompson, SM; Serbanescu-Martin, A; Wijmans, JG; Amo, KD; Lokhandwala, KA; Low, BT; Merkel, TC",NA,NA,NA,"Lin, Haiqing; Thompson, Scott M.; Serbanescu-Martin, Adrian; Wijmans, Johannes G.; Amo, Karl D.; Lokhandwala, Kaaeid A.; Low, Bee Ting; Merkel, Timothy C.",NA,Dehydration of natural gas using membranes. Part II: Sweep/countercurrent design and field test,JOURNAL OF MEMBRANE SCIENCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Membrane technology is an attractive alternative to conventional glycol dehydrators for natural gas dehydration. While membranes with high water/methane selectivity are available, the separation performance of membrane systems is restricted by the moderate feed-to-permeate pressure ratio encountered in this application, resulting in high membrane area requirement and high methane loss. This paper (Part II of a two-part study) addresses that challenge by evaluating suitable process designs to overcome the limitations of feed-to-permeate pressure ratio, using a process simulation package. A design with a dry gas on the permeate side as a countercurrent sweep shows the best combination of low methane loss and minimum membrane area requirement. The design was experimentally evaluated by field testing a spiral-wound module that incorporates countercurrent operation, at a natural gas processing plant. The use of a dry sweep gas on the permeate side significantly increased water vapor flux across the membrane. For example, as sweep/feed flow rate ratio increased from 0% to 5.9% at a permeate pressure of 4.8 bar, water flux increased by 2.5 times, from 0.13 slpm/m(2) (standard liter per minute per m(2) membrane area) to 0.47 slpm/m(2). The measured water flux reached about 80% of the value calculated with the process simulation package for a perfect sweep/countercurrent module, confirming the suitability of the spiral-wound modules with countercurrent configuration for natural gas dehydration. (C) 2013 Elsevier B.V. All rights reserved.",NA,NA,NA,"Lin, Haiqing/K-3181-2013","Lin, Haiqing/0000-0001-8042-154X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0376-7388,1873-3123,NA,NA,NA,1-Apr,2013,432,NA,NA,NA,NA,106,114,NA,10.1016/j.memsci.2012.12.049,NA,NA,NA,NA,NA,NA,NA,WOS:000315281700013,NA,NA,NA,NA,NA
C306,A154,Title,NA,J,"Tarasov, VV; Kudryashov, NV; Chubarev, VN; Kalinina, TS; Barreto, GE; Ashraf, GM; Aliev, G",NA,NA,NA,"Tarasov, Vadim V.; Kudryashov, Nikita V.; Chubarev, Vladimir N.; Kalinina, Tatiana S.; Barreto, George E.; Ashraf, Ghulam Md; Aliev, Gjumrakch",NA,Pharmacological Aspects of Neuro-Immune Interactions,CURRENT PHARMACEUTICAL DESIGN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The use of systematic approach for the analysis of mechanism of action of drugs at different levels of biological organization of organisms is an important task in experimental and clinical pharmacology for drug designing and increasing the efficacy and safety of drugs. The analysis of published data on pharmacological effects of psychotropic drugs possessing immunomodulatory and/or antiviral properties have shown a correlation between central effects of examined drugs associated with the impact on the processes of neurogenesis of adult brain and survival of neurons, and their ability to alter levels of key proinflammatory cytokines. The changes that occur as a result of the influence of pharmacological agents at one of the systems should inevitably lead to the functional reorganization at another. Integrative mechanisms underlying the neuro-immune interactions may explain the pleiotropic pharmacological effects of some antiviral and immunomodulatory drugs. Amantadine, which was originally considered as an antiviral agent, was approved as anti-parkinsonic drug after its wide medical use. The prolonged administration of interferon alpha caused depression in 30-45% of patients, thus limiting its clinical use. The antiviral drug Oseltamivir may provoke the development of central side effects, including abnormal behavior, delirium, impaired perception and suicides. Anti-herpethetical drug Panavir shows pronounced neuroprotective properties. The purpose of this review is to analyze the experimental and clinical data related to central effects of drugs with antiviral or/and immunotropic activity, and to discover the relationship of these effects with changes in reactivity of immune system and proinflammatory response.",NA,NA,NA,"Ashraf, Ghulam/H-9485-2012","Ashraf, Ghulam/0000-0002-9820-2078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1381-6128,1873-4286,NA,NA,NA,NA,2018,24,1,NA,NA,NA,15,21,NA,10.2174/1381612823666170829135115,NA,NA,NA,NA,NA,NA,NA,WOS:000428458200003,28875850,NA,NA,NA,NA
