"","AID","CID","CitedAs","Locatable","CitationDetail_RG","FulltextAvailable","DOI_RG","AuthorUpload","SourcePubs","SourcePreprint","SourceRepo","SourceWebsite","SourceURl","SourceDOI","ItemClass","Copyrighted","Licensed","HCISI","PT","AU","BA","CA","GP","RI","OI","BE","Z2","TI","X1","Y1","Z1","FT","PN","AE","Z3","SO","S1","SE","BS","VL","IS","SI","MA","BP","EP","AR","DI","D2","SU","PD","PY","AB","X4","Y4","Z4","AK","CT","CY","SP","CL","TC","Z8","ZB","ZS","Z9","SN","BN","UT","PM"
"356","E035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Denfeld, Blaize A.; Wallin, Marcus B.; Sahlee, Erik; Sobek, Sebastian; Kokic, Jovana; Chmiel, Hannah E.; Weyhenmeyer, Gesa A.",NA,NA,NA,NA,NA,NA,NA,"Temporal and spatial carbon dioxide concentration patterns in a small boreal lake in relation to ice-cover dynamics",NA,NA,NA,NA,NA,NA,NA,"BOREAL ENVIRONMENT RESEARCH",NA,NA,NA,"20","6",NA,NA,"679","692",NA,NA,NA,NA,"DEC 18 2015",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"36","E036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Dheeba, J.; Singh, N. Albert",NA,NA,NA,NA,NA,NA,NA,"Computer Aided Intelligent Breast Cancer Detection: Second Opinion for Radiologists-A Prospective Study",NA,NA,NA,NA,NA,NA,NA,"Studies in Computational Intelligence",NA,NA,NA,"575",NA,NA,NA,"397","430",NA,"10.1007/978-3-319-11017-2_16",NA,NA,"2015",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"361","E036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Dheeba, J.; Singh, N. Albert",NA,NA,NA,NA,NA,NA,NA,"Computer Aided Intelligent Breast Cancer Detection: Second Opinion for Radiologists-A Prospective Study",NA,NA,NA,NA,NA,NA,NA,"Studies in Computational Intelligence",NA,NA,NA,"575",NA,NA,NA,"397","430",NA,"10.1007/978-3-319-11017-2_16",NA,NA,"2015",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"362","E036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Dheeba, J.; Singh, N. Albert",NA,NA,NA,NA,NA,NA,NA,"Computer Aided Intelligent Breast Cancer Detection: Second Opinion for Radiologists-A Prospective Study",NA,NA,NA,NA,NA,NA,NA,"Studies in Computational Intelligence",NA,NA,NA,"575",NA,NA,NA,"397","430",NA,"10.1007/978-3-319-11017-2_16",NA,NA,"2015",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"37","E037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Dijkstra, T. K",NA,NA,NA,NA,NA,NA,NA,"Consistent partial least squares estimators for linear and polynomial factor models. A report of a belated, serious and not even unsuccessful attempt",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.13140/RG.2.1.3997.0405",NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"371","E037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Dijkstra, T. K",NA,NA,NA,NA,NA,NA,NA,"Consistent partial least squares estimators for linear and polynomial factor models. A report of a belated, serious and not even unsuccessful attempt",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.13140/RG.2.1.3997.0405",NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"38","E038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Durazo, B. E.; Chavez, C. B. H.; Gonzalez, P. M. E.; Nava, G. B.",NA,NA,NA,NA,NA,NA,NA,"Estudio descriptivo sobre el consumo de pescados y mariscos en una muestra de la comunidad universitaria en Ensenada, Mexico",NA,NA,NA,NA,NA,NA,NA,"Researchgate",NA,NA,NA,NA,"11",NA,NA,"1","19",NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"39","E039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Duvell, F.",NA,NA,NA,NA,NA,NA,NA,"Ukraine-Europe's Mexico?",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"391","E039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Duvell, F.",NA,NA,NA,NA,NA,NA,NA,"Ukraine-Europe's Mexico?",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"392","E039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Duvell, F.",NA,NA,NA,NA,NA,NA,NA,"Ukraine-Europe's Mexico?",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"393","E039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Duvell, F.",NA,NA,NA,NA,NA,NA,NA,"Ukraine-Europe's Mexico?",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"394","E039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Duvell, F.",NA,NA,NA,NA,NA,NA,NA,"Ukraine-Europe's Mexico?",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"395","E039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Duvell, F.",NA,NA,NA,NA,NA,NA,NA,"Ukraine-Europe's Mexico?",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"40","E040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Fabritsiev, S. A.; Pokrovsky, A. S.; Bagautdinov, R. M.",NA,NA,NA,NA,NA,NA,NA,"Neutron irradiation effect on the mechanical properties and structure of beryllium",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,"1062","1076",NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"41","E041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Feizizadeh, B.; Blaschke, T.",NA,NA,NA,NA,NA,NA,NA,"Examining urban heat island relations to land use and air pollution: multiple endmember spectral mixture analysis for thermal remote sensing",NA,NA,NA,NA,NA,NA,NA,"Researchgate",NA,NA,NA,"3","6",NA,NA,"1","8",NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"42","E042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Fernandez-Ruiz, R.",NA,NA,NA,NA,NA,NA,NA,"Experimental correlation study of the <SUP>7</SUP>Li and <SUP>93</SUP>Nb MAS-NMR signals versus vacant composition in Lithium Niobate",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"September",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"43","E043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Fourati, S.; Jedidi, W.",NA,NA,NA,NA,NA,NA,NA,"Some remarks on the class of Bernstein functions and some subclasses",NA,NA,NA,NA,NA,NA,NA,"ResearchGate Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"44","E044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Fukushima, S.; Yamaguchi, M.; Harusawa, F.",NA,NA,NA,NA,NA,NA,NA,"Effect of cetostearyl alcohol on stabilization of oil-in-water emulsion: II. Relation between crystal form of the alcohol and stability of the emulsion",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"59",NA,NA,NA,"159","165",NA,NA,NA,NA,NA,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"45","E045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Galkin, M.; Auer, S.; Scerri, S.",NA,NA,NA,NA,NA,NA,NA,"Enterprise Knowledge Graphs: A Backbone of Linked Enterprise Data",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"46","E046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Gelsinger, P.; Kirkpatrick, D.; Kolodny, A.; Singer, G.",NA,NA,NA,NA,NA,NA,NA,"Coping with the Complexity of Microprocessor Design at Intel-A CAD History",NA,NA,NA,NA,NA,NA,NA,"Researchgate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"47","E047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Gener, T.; Reig, R.; Sanchez-Vives, M.V.",NA,NA,NA,NA,NA,NA,NA,"A new paradigm for the reversible blockage of whisker sensory transmission",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"176",NA,NA,NA,"63","67",NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"48","E048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Goodhead, D. T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"49","E049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,NA,NA,NA,NA,"From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task",NA,NA,NA,NA,NA,NA,NA,"NEUROIMAGE",NA,NA,NA,"61","3",NA,NA,"702","714",NA,"10.1016/j.neuroimage.2012.03.087",NA,NA,"JUL 2 2012",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"491","E049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,NA,NA,NA,NA,"From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task",NA,NA,NA,NA,NA,NA,NA,"NEUROIMAGE",NA,NA,NA,"61","3",NA,NA,"702","714",NA,"10.1016/j.neuroimage.2012.03.087",NA,NA,"JUL 2 2012",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"492","E049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,NA,NA,NA,NA,"From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task",NA,NA,NA,NA,NA,NA,NA,"NEUROIMAGE",NA,NA,NA,"61","3",NA,NA,"702","714",NA,"10.1016/j.neuroimage.2012.03.087",NA,NA,"JUL 2 2012",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"493","E049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,NA,NA,NA,NA,"From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task",NA,NA,NA,NA,NA,NA,NA,"NEUROIMAGE",NA,NA,NA,"61","3",NA,NA,"702","714",NA,"10.1016/j.neuroimage.2012.03.087",NA,NA,"JUL 2 2012",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"494","E049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,NA,NA,NA,NA,"From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task",NA,NA,NA,NA,NA,NA,NA,"NEUROIMAGE",NA,NA,NA,"61","3",NA,NA,"702","714",NA,"10.1016/j.neuroimage.2012.03.087",NA,NA,"JUL 2 2012",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"495","E049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,NA,NA,NA,NA,"From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task",NA,NA,NA,NA,NA,NA,NA,"NEUROIMAGE",NA,NA,NA,"61","3",NA,NA,"702","714",NA,"10.1016/j.neuroimage.2012.03.087",NA,NA,"JUL 2 2012",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"496","E049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,NA,NA,NA,NA,"From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task",NA,NA,NA,NA,NA,NA,NA,"NEUROIMAGE",NA,NA,NA,"61","3",NA,NA,"702","714",NA,"10.1016/j.neuroimage.2012.03.087",NA,NA,"JUL 2 2012",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"497","E049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,NA,NA,NA,NA,"From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task",NA,NA,NA,NA,NA,NA,NA,"NEUROIMAGE",NA,NA,NA,"61","3",NA,NA,"702","714",NA,"10.1016/j.neuroimage.2012.03.087",NA,NA,"JUL 2 2012",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"498","E049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,NA,NA,NA,NA,"From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task",NA,NA,NA,NA,NA,NA,NA,"NEUROIMAGE",NA,NA,NA,"61","3",NA,NA,"702","714",NA,"10.1016/j.neuroimage.2012.03.087",NA,NA,"JUL 2 2012",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"499","E049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,NA,NA,NA,NA,"From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task",NA,NA,NA,NA,NA,NA,NA,"NEUROIMAGE",NA,NA,NA,"61","3",NA,NA,"702","714",NA,"10.1016/j.neuroimage.2012.03.087",NA,NA,"JUL 2 2012",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"4910","E049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,NA,NA,NA,NA,"From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task",NA,NA,NA,NA,NA,NA,NA,"NEUROIMAGE",NA,NA,NA,"61","3",NA,NA,"702","714",NA,"10.1016/j.neuroimage.2012.03.087",NA,NA,"JUL 2 2012",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"4911","E049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,NA,NA,NA,NA,"From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task",NA,NA,NA,NA,NA,NA,NA,"NEUROIMAGE",NA,NA,NA,"61","3",NA,NA,"702","714",NA,"10.1016/j.neuroimage.2012.03.087",NA,NA,"JUL 2 2012",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"4912","E049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,NA,NA,NA,NA,"From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task",NA,NA,NA,NA,NA,NA,NA,"NEUROIMAGE",NA,NA,NA,"61","3",NA,NA,"702","714",NA,"10.1016/j.neuroimage.2012.03.087",NA,NA,"JUL 2 2012",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"50","E050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Green, Maia",NA,NA,NA,NA,NA,NA,NA,"Making Africa Middle Class: From Poverty Reduction to the Production of Inequality in Tanzania",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"2","2",NA,NA,NA,NA,NA,"DOI 10.1002/SEA2.12032",NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"51","E051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Gropler, RJ; Peterson, LR",NA,NA,NA,NA,NA,NA,NA,"Imaging of Myocardial Metabolism",NA,NA,NA,NA,NA,NA,NA,"ResearchGate.",NA,NA,NA,NA,NA,NA,NA,"641","56",NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"52","E052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hafferty, F.; Salloway, J.C.",NA,NA,NA,NA,NA,NA,NA,"The evolution of medicine as a profession. A 75-year perspective",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"76","1",NA,NA,"26","35",NA,NA,NA,NA,NA,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"53","E053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hammer, D; Elby, A; Scherr, RE; Redish, EF",NA,NA,NA,NA,NA,NA,NA,"Resources, framing, and transfer",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"54","E054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Harbach, RE",NA,NA,NA,NA,NA,NA,NA,"The mosquitoes of the subgenus culex in southwestern Asia and Egypt (Diptera: culiciclae)",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"24",NA,NA,NA,"1","240",NA,NA,NA,NA,NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"55","E055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hari, R.",NA,NA,NA,NA,NA,NA,NA,"The neuromagnetic method in the study of the human auditory cortex",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"56","E056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hartenstein, R",NA,NA,NA,NA,NA,NA,NA,"The alternative machine paradigm for energy efficient computing",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,"113","113",NA,"10.13140/RG.2.2.19501.49124",NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"57","E057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Heldenbrand, SD; Dayer, L; Renna, C",NA,NA,NA,NA,NA,NA,NA,"Navigating the flooded adherence app marketplace: rating the quality of medication adherence apps",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"58","E058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hien, H; Berthe, A; Drabo, MK; Meda, N; Konate, B; Tou, F",NA,NA,NA,NA,NA,NA,NA,"Husavik energy-multiple use of geothermal energy thermie project nr.ge 321/98/is/dk. Htisavik Energy-Multiple use of geothermal energy Thermie project nr. GE 321/98/IS/DK",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"19","11",NA,NA,"1328","33",NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"59","E059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinrichsen, PF",NA,NA,NA,NA,NA,NA,NA,"Analysis of bi and trifilar suspension oscillations",NA,NA,NA,NA,NA,NA,NA,"Researchgate",NA,NA,NA,NA,NA,NA,NA,"64","64",NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"60","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
