,AID,CitationDetail_RG,FulltextAvailable,DOI_RG,AuthorUpload,SourcePubs,SourcePreprint,SourceRepo,SourceWebsite,SourceURl,SourceDOI,ItemClass,Copyrighted,Licensed,HCISI,PT,AU,CA,GP,Z2,TI,Z1,Z3,SO,VL,IS,BP,EP,AR,DI,PD,PY,CT,CY,SP,CL,TC
44,A059,Yes,Yes,No,Yes,�Selected Papers from the Computer Science and Electronic Engineering Conference (CEEC) 2014),No,No,Academia.edu,https://www.academia.edu/9770046/A_Dynamic_Reputation_Management_System_for_mobile_ad_hoc_networks,DOI: 10.3390/computers4020087,PROCEEDINGS PAPER,No,CC BY 4.0,NA,J,"Chiejina, E.",NA,NA,NA,A Dynamic Reputation Management System for Mobile Adhoc Networks,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
45,A060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Chirani, N.; Yahia, L.; Gritsch, L.; Motta, F.L.; Chirani, S.; Fare, S.",NA,NA,NA,History and applications of hydrogels,NA,NA,ResearchGate,4,2,13,23,NA,NA,1-Dec,2015,NA,NA,NA,NA,2
46,A061,Yes,Yes,Yes,Yes,No,No,No,No,No,DOI: 10.13140/RG.2.2.21311.71848,ARTICLE,No,No,NA,J,"Clifford, M. N.",NA,NA,NA,NA,NA,NA,Researchgate,NA,NA,NA,NA,NA,10.13140/RG.2.2.21311.71848,NA,2017,NA,NA,NA,NA,2
47,A062,Yes,Yes,No,Yes,2015 23nd Signal Processing and Communications Applications Conference,NA,NA,ahmetcevahircinar.com,https://www.ahmetcevahircinar.com.tr/wp-content/uploads/2017/03/Turkce_Twitter_Mesajlarinin_Duygu_Analizi.pdf,DOI: 10.1109/SIU.2015.7130362,PROCEEDINGS PAPER,Yes,No,NA,J,"Coban, O.; Ozyer, B.; Ozyer, G. T.",NA,NA,NA,Sentiment Analysis for Turkish Twitter Feeds,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
263,A063,No,Yes,No,Yes,Proceedings of the Fourteenth Electronics New Zealand Conference,No,No,The University of Waikato,http://www-ist.massey.ac.nz/enzcon/Past_Proceedings/Proceedings_2007.pdf; https://researchcommons.waikato.ac.nz/handle/10289/1485,NA,PROCEEDINGS PAPER,Yes,No,NA,J,"Cosgrove, M.; Rhodes, B.; Scott, J.",NA,NA,NA,Ultra-low-cost Logging Anemometer for Wind Power Generation Feasibility Surveys,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,January,2007,NA,NA,NA,NA,1
48,A064,No,Yes,No,Yes,No,No,No,Wiley Online Library,https://onlinelibrary.wiley.com/doi/pdf/10.1002/jcc.540110212,No,BOOK,Yes,No,NA,J,"Crippen, G.; Havel, T. F.",NA,NA,NA,NA,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,1988,NA,NA,NA,NA,1
49,A065,Yes,No,No,No,Proceedings of the Royal Society B,No,No,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/16048770,10.1098/rspb.2005.3109,PROCEEDINGS PAPER,Yes,No,NA,J,"Dabiri, JO; Gharib, M",NA,NA,NA,The role of optimal vortex formation in biological fluid transport,NA,NA,ResearchGate,272,1572,1557,1560,NA,NA,NA,NA,NA,NA,NA,NA,1
50,A066,No,No,No,No,???Proceedings of the Second Advanced Encryption Standatd Candidate Conference,NA,NA,cr.yp.to,https://cr.yp.to/bib/1999/daemen.pdf,NA,NA,NA,NA,NA,J,"Daemen, J.; Rijmen, V.",NA,NA,NA,Resistance against implementation attacks A comparative study of the AES proposals,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
264,A067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Dai, X.; Zhao, Y.; Li, M.; Fang, X.; Li, X.; Li, H.; Xu, B.",NA,NA,NA,NA,NA,NA,Research Gate,4,NA,1557,1565,NA,NA,NA,2013,NA,NA,NA,NA,1
265,A068,No,Yes,No,Yes,Journal of Aging Research & Clinical Practice,No,No,No,http://www.jarcp.com/all-issues.html?article=118,No,ARTICLE,Yes,No,NA,J,"Das, P. C.; Chatterjee, P.; Kumar, P.; Kumar, G.; Dey, A. B.",NA,NA,NA,Prevalence and predictors of geriatric syndromes in an outpatient clinic at a tertiary care hospital of India,NA,NA,Research Gate,2,1,117,120,NA,NA,NA,2012,NA,NA,NA,NA,1
51,A069,Yes,No,No,No,Bioorganic and Medicinal Chemistry Letters,No,No,No,No,https://doi.org/10.1016/j.bmcl.2015.12.020,ARTICLE,Yes,No,Preprint,J,"Dat, L.D.; Thao, N.P.; Luyen, B.T.T.; Tai, B.H.; Jeong, M.H.; Woo, M.H.; Kim, Y.H.",NA,NA,NA,Identification of six new lupane-type triterpenoids from Acanthopanax koreanum leaves and their tyrosinase inhibitory activities,NA,NA,ResearchGate.,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
266,A070,Yes,Yes,No,Yes,NACompSysTech '08 Proceedings of the 9th International Conference on Computer Systems and Technologies and Workshop for PhD Students in Computing,NA,University of Houston-Clear Lake,NA,http://sce.uhcl.edu/boetticher/CSCI5931%20Computer%20Human%20Interaction/Emotion%20Recognition%20using%20Brain%20Activity.pdf,10.1145/1500879.1500888,PROCEEDINGS PAPER,Yes,No,NA,J,"Datcu, Dragos",NA,NA,NA,Emotion recognition using brain activity,NA,NA,research gate,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,1
54,A071,Yes,Yes,No,Yes,No,No,No,No,No,No,ARTICLE,No,No,NA,J,"De Bruin, H.; Wang, J.",NA,NA,NA,Scintillometry: a review,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
52,A072,Yes,No,No,No,Journal of Production Agriculture,No,No,No,No,doi:10.2134/jpa1999.0312,ARTICLE,Yes,No,NA,J,"de Camargo, MBP; Hubbard, KG",NA,NA,NA,Drought sensitivity indices for a sorghum crop,NA,NA,JOURNAL OF PRODUCTION AGRICULTURE,12,2,312,316,NA,NA,APR-JUN 1999,1999,NA,NA,NA,NA,5
317,A073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"de Vos, P. J. Sicco",NA,NA,NA,NA,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
53,A074,Yes,Yes,No,Yes,International Journal of Computer Applications,No,No,No,No,DOI: 10.5120/ijca2016907802,ARTICLE,No,No,NA,J,"De, R.; Mahapatra, R. P.; Chakraborty, P. S.",NA,NA,NA,Exploring and Expanding the World of Artificial Intelligence,NA,NA,ResearchGate,NA,NA,NA,NA,NA,DOI 10.5120/IJCA2016907802,January,2016,NA,NA,NA,NA,1
56,A075,Yes,Yes,No,Yes,Boreal Environment Research,ResearchGate,Finnish Environmental Institute,No,http://www.diva-portal.org/smash/record.jsf?pid=diva2%3A872262&dswid=1954; https://helda.helsinki.fi/handle/10138/228304,No,ARTICLE,Yes,No,NA,J,"Denfeld, Blaize A.; Wallin, Marcus B.; Sahlee, Erik; Sobek, Sebastian; Kokic, Jovana; Chmiel, Hannah E.; Weyhenmeyer, Gesa A.",NA,NA,NA,Temporal and spatial carbon dioxide concentration patterns in a small boreal lake in relation to ice-cover dynamics,NA,NA,BOREAL ENVIRONMENT RESEARCH,20,6,679,692,NA,NA,DEC 18 2015,2015,NA,NA,NA,NA,7
57,A076,Yes,Yes,No,Yes,Proceedings of the 2015 ACM on International Conference on Multimodal Interaction,No,No,No,No,DOI: 10.1145/2818346.2829994,PROCEEDINGS PAPER,Yes,No,NA,J,"Dhall, Abhinav",NA,NA,NA,Video And Image Based Emotion Recognition Challenges In The Wild: Emotiw 2015.,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
58,A077,Yes,No,No,No,Journal of Medical Systems,No,No,No,No,DOI: 10.1007/s10916-011-9813-z,ARTICLE,Yes,No,Abstract and Link to Publisher,J,"Dheeba, J.; Singh, N. Albert",NA,NA,NA,Computer Aided Intelligent Breast Cancer Detection: Second Opinion for Radiologists-A Prospective Study,NA,NA,Studies in Computational Intelligence,575,NA,397,430,NA,10.1007/978-3-319-11017-2_16,2015,2015,NA,NA,NA,NA,3
267,A078,Yes,No,No,No,Applied Ergonomics,No,No,No,No,DOI: 10.1016/j.apergo.2015.09.009,ARTICLE,Yes,No,Preprint,J,"Diels, C.; Bos, J. E.",NA,NA,NA,Self-driving carsickness,NA,NA,Research Gate,NA,NA,1,15,NA,NA,Oct.,2015,NA,NA,NA,NA,1
59,A079,Yes,Yes,Yes,No,No,No,University of Groningen,No,https://www.rug.nl/staff/t.k.dijkstra/consistent-pls-estimators.pdf,DOI: 10.13140/RG.2.1.3997.0405,ARTICLE,No,No,NA,J,"Dijkstra, T. K",NA,NA,NA,"Consistent partial least squares estimators for linear and polynomial factor models. A report of a belated, serious and not even unsuccessful attempt",NA,NA,ResearchGate,NA,NA,NA,NA,NA,10.13140/RG.2.1.3997.0405,NA,2011,NA,NA,NA,NA,2
60,A080,Yes,Yes,No,Yes,No,No,No,Tertiary Education Commission,http://www.tec.mu/pdf_downloads/confpaper/conference_others/confpaper7.pdf; ,No,PROCEEDINGS PAPER,No,No,NA,J,"Dookhitram, K.; Narsoo, J.; Sunhaloo, M. S.; Sukhoo, A.; Soobron, M.",NA,NA,NA,"Green Computing: An Awareness Survey among University of Technology, Mauritius Students",NA,NA,ResearchGate,NA,NA,1,8,NA,NA,NA,2012,NA,NA,NA,NA,1
61,A081,No,Yes,No,Yes,Revista Iberoamericana para la Investigaci�n y el Desarrollo Educativo,No,No,No,http://ride.org.mx/1-11/index.php/RIDESECUNDARIO/article/view/651,No,PROCEEDINGS PAPER,No,OA,NA,J,"Durazo, B. E.; Chavez, C. B. H.; Gonzalez, P. M. E.; Nava, G. B.",NA,NA,NA,"Estudio descriptivo sobre el consumo de pescados y mariscos en una muestra de la comunidad universitaria en Ensenada, Mexico",NA,NA,Researchgate,NA,11,1,19,NA,NA,NA,2013,NA,NA,NA,NA,1
55,A082,Yes,Yes,No,Yes,Technical Gazette,No,No,No,https://hrcak.srce.hr/file/117669,No,ARTICLE,No,No,NA,J,"Dzmbeg-Malcic, V.; Barbaric-Mikocvic, Z.; Itric, K.",NA,NA,NA,Kubelka-Munk theory in describing optical properties of paper (I),NA,NA,ResearchGate,19,NA,191,196,NA,NA,NA,2012,NA,NA,NA,NA,1
268,A083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
269,A084,Yes,No,No,No,Journal of Loss Prevention in the Process Industries,No,No,No,No,https://doi.org/10.1016/j.jlp.2005.06.031,ARTICLE,Yes,No,Preprint,J,"Fabiano, B.; Curro, F.; Reverberi, A. P.; Pastorino, R.",NA,NA,NA,Dangerous good transportation by road: from risk analysis to emergency planning,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,1
62,A085,No,No,No,No,Effects of Radiation on Materials: 18th International Symposium,No,No,No,No,10.1520/STP1325-EB,PROCEEDINGS PAPER,NA,NA,NA,J,"Fabritsiev, S. A.; Pokrovsky, A. S.; Bagautdinov, R. M.",NA,NA,NA,Neutron irradiation effect on the mechanical properties and structure of beryllium,NA,NA,ResearchGate,NA,NA,1062,1076,NA,NA,NA,1999,NA,NA,NA,NA,1
270,A086,Yes,Yes,No,Yes,ICAIS'14,NA,Portsmouth Research Portal,Google Books,https://researchportal.port.ac.uk/portal/en/publications/learning-sentiment-from-students-feedback-for-realtime-interventions-in-classrooms(243e520e-7544-4dc8-800c-8f84bcf5ca55).html; https://books.google.com/books?id=44FHBAAAQBAJ&pg=PA40&lpg=PA40&dq=%22Learning+Sentiment+from+Students%E2%80%99+Feedback+for+Real-Time+Interventions+in+Classrooms%22&source=bl&ots=eOuNfS6yL5&sig=I8iqqeoZLqSaImnbF3BBFUvCnGU&hl=en&sa=X&ved=2ahUKEwizt7PMo-PdAhXMx4MKHcUIBxIQ6AEwDXoECAMQAQ#v=onepage&q=%22Learning%20Sentiment%20from%20Students%E2%80%99%20Feedback%20for%20Real-Time%20Interventions%20in%20Classrooms%22&f=false,https://doi.org/10.1007/978-3-319-11298-5_5,PROCEEDINGS PAPER,Yes,NA,NA,J,"Fallahkhair, S.; Cocea, M.; Altrabsheh, N.",NA,NA,NA,Learning sentiment from students' feedback,NA,NA,research gate,NA,NA,44,48,NA,NA,NA,2014,NA,NA,NA,NA,1
63,A087,Yes,Yes,No,Yes,National Science Review,arXiv.org,No,No,arXiv:1308.1479,https://doi.org/10.1093/nsr/nwt032,ARTICLE,Author,No,Preprint,J,"Fan, J.; Han, F.; Liu, H.",NA,NA,NA,Challenges of Big Data Analysis.,NA,NA,ResearchGate,1,1,1,38,NA,NA,NA,2013,NA,NA,NA,NA,1
64,A088,Yes,Yes,No,Yes,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,No,No,Academia.edu,https://www.academia.edu/11424428/Examining_urban_heat_island_relations_to_land_use_and_air_pollution_multiple_endmember_spectral_mixture_analysis_for_thermal_remote_sensing,10.1109/JSTARS.2013.2263425,ARTICLE,Yes,No,NA,J,"Feizizadeh, B.; Blaschke, T.",NA,NA,NA,Examining urban heat island relations to land use and air pollution: multiple endmember spectral mixture analysis for thermal remote sensing,NA,NA,Researchgate,3,6,1,8,NA,NA,NA,2013,NA,NA,NA,NA,1
271,A089,Yes,Yes,Yes,Yes,No,No,No,No,No,DOI: 10.13140/RG.2.1.3380.1840,ARTICLE,No,No,NA,J,"Felipe, DVL",NA,NA,NA,BioDocker: an open-source and community-driven framework for software standardization,NA,NA,Research-Gate,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,1
65,A090,Yes,Yes,Yes,Yes,No,No,No,Academia.edu,https://www.academia.edu/27459032/Experimental_correlation_study_of_the_7Li_and_93Nb_MAS-NMR_signals_versus_vacant_composition_in_Lithium_Niobate,DOI: 10.13140/RG.2.1.4721.4568,ARTICLE,No,No,NA,J,"Fernandez-Ruiz, R.",NA,NA,NA,Experimental correlation study of the <SUP>7</SUP>Li and <SUP>93</SUP>Nb MAS-NMR signals versus vacant composition in Lithium Niobate,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,September,2015,NA,NA,NA,NA,1
66,A091,No,Yes,No,Yes,Journal of Educational Data Mining,No,No,Academia.edu,https://jedm.educationaldatamining.org/index.php/JEDM/article/view/21; https://www.academia.edu/19928708/Clustering_Educational_Digital_Library_Usage_Data_A_Comparison_of_Latent_Class_Analysis_and_K-Means_Algorithms,No,ARTICLE,No,No,NA,J,"Flann, N.; Xu, B.; Recker, M.; Qi, X.; Ye, L.",NA,NA,NA,Clustering Educational Digital Library Usage Data: A Comparison of Latent Class Analysis and K-means Algorithms,NA,NA,ResearchGate,5,2,NA,NA,NA,NA,Aug.,2013,NA,NA,NA,NA,1
195,A092,Yes,Yes,Yes,Yes,No,No,No,No,No,DOI: 10.13140/RG.2.2.29853.31203,ARTICLE,No,No,NA,J,"Forshaw, SD",NA,NA,NA,Memory of a universal mind. Galactic structures and their existence as cognitive operators in an emerging universally conscious machine,NA,NA,ResearchGate,NA,NA,NA,NA,309209078,NA,NA,2016,NA,NA,NA,NA,1
67,A093,Yes,No,No,No,"
Wiley Encyclopedia of Biomedical Engineering",No,No,No,No,https://doi.org/10.1002/9780471740360.ebs1326,ARTICLE,Yes,No,NA,J,"Fotiadis, Dimitrios I; Glaros, Constantine; Likas, Aristidis",NA,NA,NA,Wearable Medical Devices,NA,NA,ResearchGate,NA,NA,3816,3827,NA,NA,April,2006,NA,NA,NA,NA,1
68,A094,No,Yes,No,Yes,No,HAL,No,No,https://hal.archives-ouvertes.fr/hal-00649018,No,ARTICLE,No,Yes,NA,J,"Fourati, S.; Jedidi, W.",NA,NA,NA,Some remarks on the class of Bernstein functions and some subclasses,NA,NA,ResearchGate Article,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,1
69,A095,Yes,No,No,No,Journal of Colloid and Interface Science,No,No,No,No,DOI: 10.1016/0021-9797(77)90350-2,ARTICLE,Yes,No,Preprint,J,"Fukushima, S.; Yamaguchi, M.; Harusawa, F.",NA,NA,NA,Effect of cetostearyl alcohol on stabilization of oil-in-water emulsion: II. Relation between crystal form of the alcohol and stability of the emulsion,NA,NA,ResearchGate,59,NA,159,165,NA,NA,NA,1977,NA,NA,NA,NA,1
70,A096,Yes,Yes,No,Yes,No,No,FSB,No,https://www.bib.irb.hr/765453,No,PROCEEDINGS PAPER,No,No,NA,J,"Gajsek, B.; Dukic, G.",NA,NA,NA,Review of ergonomics solutions to protect from injuries of lower back in case of forklifts.,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
71,A097,Yes,Yes,No,Yes,2016 IEEE/WIC/ACM International Conference on Web Intelligence,No,No,No,No,10.1109/WI.2016.0083,PROCEEDINGS PAPER,Yes,No,NA,J,"Galkin, M.; Auer, S.; Scerri, S.",NA,NA,NA,Enterprise Knowledge Graphs: A Backbone of Linked Enterprise Data,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,May,2016,NA,NA,NA,NA,1
72,A098,No,Yes,No,Yes,No,No,No,SemanticScholar; TechRepublic,https://www.semanticscholar.org/paper/Coping-with-the-Complexity-of-Microprocessor-Design-Gelsinger-Kirkpatrick/9ac128a256ea03daa61fafd9145f3fe882c8e545; https://www.techrepublic.com/resource-library/whitepapers/coping-with-the-complexity-of-microprocessor-design-at-intel-a-cad-history/,No,ARTICLE,No,No,NA,J,"Gelsinger, P.; Kirkpatrick, D.; Kolodny, A.; Singer, G.",NA,NA,NA,Coping with the Complexity of Microprocessor Design at Intel-A CAD History,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
73,A099,Yes,No,No,No,Journal of Neuroscience Methods,NA,NA,NA,NA,10.1016/j.jneumeth.2008.08.012,NA,NA,NA,NA,J,"Gener, T.; Reig, R.; Sanchez-Vives, M.V.",NA,NA,NA,A new paradigm for the reversible blockage of whisker sensory transmission,NA,NA,ResearchGate,176,NA,63,67,NA,NA,NA,2008,NA,NA,NA,NA,1
272,A100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Ghazali, Kamarul Hawari; Mustafa, Marzuki; Hussain, Aini",NA,NA,NA,Feature Extraction Technique using SIFT Keypoint Descriptors,NA,NA,Research Gate,NA,NA,740,744,NA,NA,NA,2007,NA,NA,NA,NA,1
74,A101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Godin, C.; Prost-Boucle, F.; Campagne, A.; Charbonnier, S.; Bonnet, S.; Vidal, A.",NA,NA,NA,Selection of the most relevant physiological features for classifying emotion,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,4
75,A102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Goodhead, D. T.",NA,NA,NA,NA,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,1
76,A103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Gordillo, G.; Hurtado, M. F.; becerra, R. A.; Cruz, S. D.; Ramirez, E. A.; Oyola, J. S.; Lauermann, Iver.",NA,NA,NA,comparison study of CZTS thin films grown using vacuum and solution based methods,NA,NA,ResearchGate,NA,NA,1704,1708,NA,NA,NA,2014,NA,NA,NA,NA,1
77,A104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Goyal, S. K.; Singh, M.",NA,NA,NA,Adaptive and Dynamic Load Balancing in Grid Using Ant Colony Optimization,NA,NA,ResearchGate,4,4,NA,NA,NA,NA,Aug.,2012,NA,NA,NA,NA,1
78,A105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Graham, J.; Shillcutt, K.",NA,NA,NA,Robot Tracking of Human Subjects in Field Environments,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,1
79,A106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task,NA,NA,NEUROIMAGE,61,3,702,714,NA,10.1016/j.neuroimage.2012.03.087,JUL 2 2012,2012,NA,NA,NA,NA,13
80,A107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Graves, A.",NA,NA,NA,Offline handwriting recognition with multidimensional recurrent neural networks,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,1
81,A108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Gropler, RJ; Peterson, LR",NA,NA,NA,Imaging of Myocardial Metabolism,NA,NA,ResearchGate.,NA,NA,641,56,NA,NA,NA,2010,NA,NA,NA,NA,1
82,A109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Guinard, D.; Trifa, V.; Guinard, D.",NA,NA,NA,Towards the web of things: web mashups for embedded devices,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA,1
83,A110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Gumbel, E. J.",NA,NA,NA,NA,NA,NA,Distributions des Valeurs Extremes en Plusiers Dimensions,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,1
273,A111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Gupta, S; Jain, SK",NA,NA,NA,An application of 5S concept to organize the workplace at a scientific instruments manufacturing company,NA,NA,Research Gate,NA,NA,NA,NA,NA,DOI 10.1108/IJLSS-08-2013-0047,March,2015,NA,NA,NA,NA,1
84,A112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hafferty, F.; Salloway, J.C.",NA,NA,NA,The evolution of medicine as a profession. A 75-year perspective,NA,NA,ResearchGate,76,1,26,35,NA,NA,NA,1993,NA,NA,NA,NA,1
85,A113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Haklay, Muki; Budhathoki, Nama",NA,NA,NA,OpenStreetMap-Overview and Motivational Factors,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
86,A114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hammer, D; Elby, A; Scherr, RE; Redish, EF",NA,NA,NA,"Resources, framing, and transfer",NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
87,A115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Harbach, RE",NA,NA,NA,The mosquitoes of the subgenus culex in southwestern Asia and Egypt (Diptera: culiciclae),NA,NA,ResearchGate,24,NA,1,240,NA,NA,NA,1988,NA,NA,NA,NA,1
88,A116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hari, R.",NA,NA,NA,The neuromagnetic method in the study of the human auditory cortex,NA,NA,ResearchGate,6,NA,NA,NA,NA,NA,NA,1990,NA,NA,NA,NA,1
89,A117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hartenstein, R",NA,NA,NA,The alternative machine paradigm for energy efficient computing,NA,NA,ResearchGate,NA,NA,113,113,NA,10.13140/RG.2.2.19501.49124,NA,2016,NA,NA,NA,NA,1
90,A118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Heldenbrand, SD; Dayer, L; Renna, C",NA,NA,NA,Navigating the flooded adherence app marketplace: rating the quality of medication adherence apps,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
91,A119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hewavitharana, S.; Fernando, H. C.",NA,NA,NA,A two stage classification approach to tamil handwriting recognition,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Jan.,2009,NA,NA,NA,NA,1
92,A120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hien, H; Berthe, A; Drabo, MK; Meda, N; Konate, B; Tou, F",NA,NA,NA,Husavik energy-multiple use of geothermal energy thermie project nr.ge 321/98/is/dk. Htisavik Energy-Multiple use of geothermal energy Thermie project nr. GE 321/98/IS/DK,NA,NA,ResearchGate,19,11,1328,33,NA,NA,NA,2003,NA,NA,NA,NA,1
93,A121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinrichsen, PF",NA,NA,NA,Analysis of bi and trifilar suspension oscillations,NA,NA,Researchgate,NA,NA,64,64,NA,NA,NA,2015,NA,NA,NA,NA,1
94,A122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
95,A123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hong, Jang; Rani, Han; Song, Shim",NA,NA,NA,Expanded polystyrene (eps) buoy as a possible source of hexabromocyclododecanes (HBCDs) in the marine environment,NA,NA,ResearchGate,75,NA,882,885,NA,NA,NA,2013,NA,NA,NA,NA,1
126,A124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hong, Jooheon",NA,NA,이대훈,Immune-Enhancing Effects of Polysaccharides Isolated from Ascidian (Halocynthia roretzi) Tunic,우렁쉥이(Halocynthia roretzi) 껍질로부터 분리된 다당류의 면역증강 효과,한국식품영양과학회지,Journal of the Korean Society of Food Science and Nutrition,44,5,673,680,NA,NA,2015,2015,NA,NA,NA,NA,2
96,A125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hu, G.; Liu, C.; Liao, Y.; Yang, L; Huang, R.; Wu, J.; Xie, J.; Bundhoo, K.; Liu, Y.; Bin, J.",NA,NA,NA,Ultrasound molecular imaging of arterial thrombi with novel microbubbles modified by cyclic RGD in vitro and in vivo,NA,NA,ResearchGate,107,NA,172,183,NA,NA,NA,2011,NA,NA,NA,NA,1
97,A126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Huang, Y.L.; Fuh, C.S.",NA,NA,NA,Noise reduction using enhanced bilateral filter,NA,NA,Researchgate,12,4,46,53,NA,NA,NA,2006,NA,NA,NA,NA,1
