,AID,CID,CitedAs,Locatable,CitationDetail_RG,FulltextAvailable,DOI_RG,AuthorUpload,SourcePubs,SourcePreprint,SourceRepo,SourceWebsite,SourceURl,SourceDOI,ItemClass,Copyrighted,Licensed,HCISI,PT,AU,CA,GP,Z2,TI,Z1,Z3,SO,VL,IS,BP,EP,AR,DI,PD,PY,CT,CY,SP,CL,TC
57,P057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Dhall, Abhinav",NA,NA,NA,Video And Image Based Emotion Recognition Challenges In The Wild: Emotiw 2015.,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
58,P058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Dheeba, J.; Singh, N. Albert",NA,NA,NA,Computer Aided Intelligent Breast Cancer Detection: Second Opinion for Radiologists-A Prospective Study,NA,NA,Studies in Computational Intelligence,575,NA,397,430,NA,10.1007/978-3-319-11017-2_16,2015,2015,NA,NA,NA,NA,3
581,P058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Dheeba, J.; Singh, N. Albert",NA,NA,NA,Computer Aided Intelligent Breast Cancer Detection: Second Opinion for Radiologists-A Prospective Study,NA,NA,Studies in Computational Intelligence,575,NA,397,430,NA,10.1007/978-3-319-11017-2_16,2015,2015,NA,NA,NA,NA,3
582,P058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Dheeba, J.; Singh, N. Albert",NA,NA,NA,Computer Aided Intelligent Breast Cancer Detection: Second Opinion for Radiologists-A Prospective Study,NA,NA,Studies in Computational Intelligence,575,NA,397,430,NA,10.1007/978-3-319-11017-2_16,2015,2015,NA,NA,NA,NA,3
59,P059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Dijkstra, T. K",NA,NA,NA,"Consistent partial least squares estimators for linear and polynomial factor models. A report of a belated, serious and not even unsuccessful attempt",NA,NA,ResearchGate,NA,NA,NA,NA,NA,10.13140/RG.2.1.3997.0405,NA,2011,NA,NA,NA,NA,2
591,P059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Dijkstra, T. K",NA,NA,NA,"Consistent partial least squares estimators for linear and polynomial factor models. A report of a belated, serious and not even unsuccessful attempt",NA,NA,ResearchGate,NA,NA,NA,NA,NA,10.13140/RG.2.1.3997.0405,NA,2011,NA,NA,NA,NA,2
60,P060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Dookhitram, K.; Narsoo, J.; Sunhaloo, M. S.; Sukhoo, A.; Soobron, M.",NA,NA,NA,"Green Computing: An Awareness Survey among University of Technology, Mauritius Students",NA,NA,ResearchGate,NA,NA,1,8,NA,NA,NA,2012,NA,NA,NA,NA,1
61,P061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Durazo, B. E.; Chavez, C. B. H.; Gonzalez, P. M. E.; Nava, G. B.",NA,NA,NA,"Estudio descriptivo sobre el consumo de pescados y mariscos en una muestra de la comunidad universitaria en Ensenada, Mexico",NA,NA,Researchgate,NA,11,1,19,NA,NA,NA,2013,NA,NA,NA,NA,1
62,P062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Fabritsiev, S. A.; Pokrovsky, A. S.; Bagautdinov, R. M.",NA,NA,NA,Neutron irradiation effect on the mechanical properties and structure of beryllium,NA,NA,ResearchGate,NA,NA,1062,1076,NA,NA,NA,1999,NA,NA,NA,NA,1
63,P063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Fan, J.; Han, F.; Liu, H.",NA,NA,NA,Challenges of Big Data Analysis.,NA,NA,ResearchGate,1,1,1,38,NA,NA,NA,2013,NA,NA,NA,NA,1
64,P064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Feizizadeh, B.; Blaschke, T.",NA,NA,NA,Examining urban heat island relations to land use and air pollution: multiple endmember spectral mixture analysis for thermal remote sensing,NA,NA,Researchgate,3,6,1,8,NA,NA,NA,2013,NA,NA,NA,NA,1
65,P065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Fernandez-Ruiz, R.",NA,NA,NA,Experimental correlation study of the <SUP>7</SUP>Li and <SUP>93</SUP>Nb MAS-NMR signals versus vacant composition in Lithium Niobate,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,September,2015,NA,NA,NA,NA,1
66,P066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Flann, N.; Xu, B.; Recker, M.; Qi, X.; Ye, L.",NA,NA,NA,Clustering Educational Digital Library Usage Data: A Comparison of Latent Class Analysis and K-means Algorithms,NA,NA,ResearchGate,5,2,NA,NA,NA,NA,Aug.,2013,NA,NA,NA,NA,1
67,P067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Fotiadis, Dimitrios I; Glaros, Constantine; Likas, Aristidis",NA,NA,NA,Wearable Medical Devices,NA,NA,ResearchGate,NA,NA,3816,3827,NA,NA,April,2006,NA,NA,NA,NA,1
68,P068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Fourati, S.; Jedidi, W.",NA,NA,NA,Some remarks on the class of Bernstein functions and some subclasses,NA,NA,ResearchGate Article,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,1
69,P069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Fukushima, S.; Yamaguchi, M.; Harusawa, F.",NA,NA,NA,Effect of cetostearyl alcohol on stabilization of oil-in-water emulsion: II. Relation between crystal form of the alcohol and stability of the emulsion,NA,NA,ResearchGate,59,NA,159,165,NA,NA,NA,1977,NA,NA,NA,NA,1
70,P070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Gajsek, B.; Dukic, G.",NA,NA,NA,Review of ergonomics solutions to protect from injuries of lower back in case of forklifts.,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
71,P071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Galkin, M.; Auer, S.; Scerri, S.",NA,NA,NA,Enterprise Knowledge Graphs: A Backbone of Linked Enterprise Data,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,May,2016,NA,NA,NA,NA,1
72,P072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Gelsinger, P.; Kirkpatrick, D.; Kolodny, A.; Singer, G.",NA,NA,NA,Coping with the Complexity of Microprocessor Design at Intel-A CAD History,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
73,P073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Gener, T.; Reig, R.; Sanchez-Vives, M.V.",NA,NA,NA,A new paradigm for the reversible blockage of whisker sensory transmission,NA,NA,ResearchGate,176,NA,63,67,NA,NA,NA,2008,NA,NA,NA,NA,1
74,P074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Godin, C.; Prost-Boucle, F.; Campagne, A.; Charbonnier, S.; Bonnet, S.; Vidal, A.",NA,NA,NA,Selection of the most relevant physiological features for classifying emotion,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,4
741,P074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Godin, C.; Prost-Boucle, F.; Campagne, A.; Charbonnier, S.; Bonnet, S.; Vidal, A.",NA,NA,NA,Selection of the most relevant physiological features for classifying emotion,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,4
742,P074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Godin, C.; Prost-Boucle, F.; Campagne, A.; Charbonnier, S.; Bonnet, S.; Vidal, A.",NA,NA,NA,Selection of the most relevant physiological features for classifying emotion,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,4
743,P074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Godin, C.; Prost-Boucle, F.; Campagne, A.; Charbonnier, S.; Bonnet, S.; Vidal, A.",NA,NA,NA,Selection of the most relevant physiological features for classifying emotion,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,4
75,P075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Goodhead, D. T.",NA,NA,NA,NA,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,1
76,P076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Gordillo, G.; Hurtado, M. F.; becerra, R. A.; Cruz, S. D.; Ramirez, E. A.; Oyola, J. S.; Lauermann, Iver.",NA,NA,NA,comparison study of CZTS thin films grown using vacuum and solution based methods,NA,NA,ResearchGate,NA,NA,1704,1708,NA,NA,NA,2014,NA,NA,NA,NA,1
77,P077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Goyal, S. K.; Singh, M.",NA,NA,NA,Adaptive and Dynamic Load Balancing in Grid Using Ant Colony Optimization,NA,NA,ResearchGate,4,4,NA,NA,NA,NA,Aug.,2012,NA,NA,NA,NA,1
78,P078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Graham, J.; Shillcutt, K.",NA,NA,NA,Robot Tracking of Human Subjects in Field Environments,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,1
79,P079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task,NA,NA,NEUROIMAGE,61,3,702,714,NA,10.1016/j.neuroimage.2012.03.087,JUL 2 2012,2012,NA,NA,NA,NA,13
791,P079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task,NA,NA,NEUROIMAGE,61,3,702,714,NA,10.1016/j.neuroimage.2012.03.087,JUL 2 2012,2012,NA,NA,NA,NA,13
792,P079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task,NA,NA,NEUROIMAGE,61,3,702,714,NA,10.1016/j.neuroimage.2012.03.087,JUL 2 2012,2012,NA,NA,NA,NA,13
793,P079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task,NA,NA,NEUROIMAGE,61,3,702,714,NA,10.1016/j.neuroimage.2012.03.087,JUL 2 2012,2012,NA,NA,NA,NA,13
794,P079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task,NA,NA,NEUROIMAGE,61,3,702,714,NA,10.1016/j.neuroimage.2012.03.087,JUL 2 2012,2012,NA,NA,NA,NA,13
795,P079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task,NA,NA,NEUROIMAGE,61,3,702,714,NA,10.1016/j.neuroimage.2012.03.087,JUL 2 2012,2012,NA,NA,NA,NA,13
796,P079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task,NA,NA,NEUROIMAGE,61,3,702,714,NA,10.1016/j.neuroimage.2012.03.087,JUL 2 2012,2012,NA,NA,NA,NA,13
797,P079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task,NA,NA,NEUROIMAGE,61,3,702,714,NA,10.1016/j.neuroimage.2012.03.087,JUL 2 2012,2012,NA,NA,NA,NA,13
798,P079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task,NA,NA,NEUROIMAGE,61,3,702,714,NA,10.1016/j.neuroimage.2012.03.087,JUL 2 2012,2012,NA,NA,NA,NA,13
799,P079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task,NA,NA,NEUROIMAGE,61,3,702,714,NA,10.1016/j.neuroimage.2012.03.087,JUL 2 2012,2012,NA,NA,NA,NA,13
7910,P079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task,NA,NA,NEUROIMAGE,61,3,702,714,NA,10.1016/j.neuroimage.2012.03.087,JUL 2 2012,2012,NA,NA,NA,NA,13
7911,P079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task,NA,NA,NEUROIMAGE,61,3,702,714,NA,10.1016/j.neuroimage.2012.03.087,JUL 2 2012,2012,NA,NA,NA,NA,13
7912,P079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",NA,NA,NA,From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task,NA,NA,NEUROIMAGE,61,3,702,714,NA,10.1016/j.neuroimage.2012.03.087,JUL 2 2012,2012,NA,NA,NA,NA,13
80,P080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Graves, A.",NA,NA,NA,Offline handwriting recognition with multidimensional recurrent neural networks,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,1
81,P081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Gropler, RJ; Peterson, LR",NA,NA,NA,Imaging of Myocardial Metabolism,NA,NA,ResearchGate.,NA,NA,641,56,NA,NA,NA,2010,NA,NA,NA,NA,1
82,P082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Guinard, D.; Trifa, V.; Guinard, D.",NA,NA,NA,Towards the web of things: web mashups for embedded devices,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA,1
83,P083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Gumbel, E. J.",NA,NA,NA,NA,NA,NA,Distributions des Valeurs Extremes en Plusiers Dimensions,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,1
84,P084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hafferty, F.; Salloway, J.C.",NA,NA,NA,The evolution of medicine as a profession. A 75-year perspective,NA,NA,ResearchGate,76,1,26,35,NA,NA,NA,1993,NA,NA,NA,NA,1
85,P085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Haklay, Muki; Budhathoki, Nama",NA,NA,NA,OpenStreetMap-Overview and Motivational Factors,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
86,P086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hammer, D; Elby, A; Scherr, RE; Redish, EF",NA,NA,NA,"Resources, framing, and transfer",NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
87,P087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Harbach, RE",NA,NA,NA,The mosquitoes of the subgenus culex in southwestern Asia and Egypt (Diptera: culiciclae),NA,NA,ResearchGate,24,NA,1,240,NA,NA,NA,1988,NA,NA,NA,NA,1
88,P088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hari, R.",NA,NA,NA,The neuromagnetic method in the study of the human auditory cortex,NA,NA,ResearchGate,6,NA,NA,NA,NA,NA,NA,1990,NA,NA,NA,NA,1
89,P089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hartenstein, R",NA,NA,NA,The alternative machine paradigm for energy efficient computing,NA,NA,ResearchGate,NA,NA,113,113,NA,10.13140/RG.2.2.19501.49124,NA,2016,NA,NA,NA,NA,1
90,P090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Heldenbrand, SD; Dayer, L; Renna, C",NA,NA,NA,Navigating the flooded adherence app marketplace: rating the quality of medication adherence apps,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
91,P091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hewavitharana, S.; Fernando, H. C.",NA,NA,NA,A two stage classification approach to tamil handwriting recognition,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Jan.,2009,NA,NA,NA,NA,1
92,P092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hien, H; Berthe, A; Drabo, MK; Meda, N; Konate, B; Tou, F",NA,NA,NA,Husavik energy-multiple use of geothermal energy thermie project nr.ge 321/98/is/dk. Htisavik Energy-Multiple use of geothermal energy Thermie project nr. GE 321/98/IS/DK,NA,NA,ResearchGate,19,11,1328,33,NA,NA,NA,2003,NA,NA,NA,NA,1
93,P093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinrichsen, PF",NA,NA,NA,Analysis of bi and trifilar suspension oscillations,NA,NA,Researchgate,NA,NA,64,64,NA,NA,NA,2015,NA,NA,NA,NA,1
94,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
941,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
942,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
943,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
944,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
945,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
946,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
947,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
948,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
949,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9410,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9411,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9412,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
9413,P094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,Improving neural networks by preventing co adaptation of feature detectors,NA,NA,ResearchGate,3,4,212,223,NA,NA,NA,2012,NA,NA,NA,NA,61
