PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J			ResearchGate						Researcher partly validates results of controversial stem cell study								ResearchGate														Apr 1	2014										1									
J	[Anonymous]								Supplementary material- NPh 17044SS								ResearchGate														20 June	2017										1									
J	Ribeiro, M J; Labrincha, J A; Ferreira, J																Researchgate								1	19						2003										1									
J	Rico, A.; Ruchkin, I.; Schmerl, B.; Garlan, D.								Hardware Power Modeling for Turtlebot								ResearchGate														Jul.	2016										1									
J	Roschek, T.								MICROMORPH&TRADE; Technology: Introduction and the Path to Record Efficiencies								ResearchGate															2015										1									
J	Roschek, T.								MICROMORPHrm Technology: introduction and the path to record efficiencies								ResearchGate											10.13140/RG.2.1.1628.8804				2015										1									
J	Rossello-Busquet, Ana; Soler, Jose								Towards Efficient Energy Management: Defining HEMS and Smart Grid Objectives								ResearchGate																									1									
J	Schindel, W.								What is the Smallest Model of a System?								ResearchGate															2011										1									
J	Scrucca, L.; Fop, M.; Murphy, T. B.; Raftery, A. E.								mclust 5: Clustering, Classification and Density Estimation Using Gaussian Finite Mixture Models								ResearchGate				8	1			204	233						2016										1									
J	Forshaw, SD								Memory of a universal mind. Galactic structures and their existence as cognitive operators in an emerging universally conscious machine								ResearchGate										309209078					2016										1									
J	Serio, R.; Billack, B.								Potential Tumor Biomarkers for Ovarian Cancer								Researchgate. Net				125											2011										1									
J	Set, E; Akdemir, AO; Celik, B								On generalization of Fejer type inequalities via fractional integral operator								ResearchGate																									1									
J	Set, E; Celik, B								On generalization related to the left side of Fejer's inequalites via fractional integral operator								ResearchGate																									1									
J	Set, E; Choi, J; Celik, B								A new approach to generalized of Hermite-Hadamard inequality using fractional integral operator								ResearchGate																									1									
J	Shabila, N								Assessment of the Iraqi primary care referral system: reporting a high self-requested referral rate								ResearchGate.				10	3			4	10						2012										1									
J	Shackleford, JA; Shusharina, N; Verberg, J								Plastimatch 1. 6-current capabilities and future directions								ResearchGate								108	119						2012										1									
J	Shalashvili, A.; Ugrekhelidze, D.; Mitaishvili, T.; Targamadze, I.; Zambakhidze, N.								Phenolic compounds of wines from georgian autochthonous grapes, rkatsiteli and saperavi, prepared by georgian (kakhetian) technology								ResearchGate				6				99	103						2012										2									
J	Sharbrough, FW; Chatrian, GE; Lesser, RP; Luders, H; Nuwer, M; Picton, TW								Guideline thirteen: Guidelines for standard electrode position nomenclature American Electroencephalographic Society J Clin Neurophysiol 1994 11 111 113 8195414								ResearchGate				8				200	202						1991										1									
J	Shen, L.Y.X.W.Y.Y. Chao								An experimental and numerical study of defouling evaporator used in a wastewater source heat pump								ResearchGate															2014										1									
J	Singh, V. P.; Chowdhury, P. K								On Fitting Gamma Distrubution to Synthetic Runoff Hydrographs								Research Gate				l6											1985										1									
J	Steeg, T.								Systems thinking and practice: a review and analysis of key ideas and their implications for practice in design & technology education								ResearchGate								203	214						2000										1									
J	Stensrud, B. S.; Barrett, G. C.; Lisetti, C. L.; Gonzalez, A.								Modeling affect in context based reasoning								ResearchGate															2015										1									
J	Stephant, N.								In: Why during SEM-EDX We Cannot Detect Nitrogen However on the Element Map Nitrogen Is Detected what Reason Could Someone Explain								Researchgate															2016										1									
J	Straatman, J; van der Peet, DL								C- reactive protein after major ab- dominal surgery: biochemical and clinical aspects								ResearchGate [Internet]								2	2						2015										1									
J	Sukassini, M.; Velmurugan, T.								Nois removal using Morphology and Median filter Methods in Mammogram Images								ResearchGate								413	419						2016										1									
J	Sulthan, S. M.								Fuzzy based Maximum Power Point Tracking Controller for Stand alone Photovoltaic system using MATLAB/Simulink								ResearchGate				10	55									May	2015										1									
J	Takacs, Barnabas; Hanak, David								A mobile system for assisted living with ambient facial interfaces								ResearchGate				2				33	50						2006										1									
J	Takamura, K.; Ueda, Y.; Irie, U.; Yamaguchi, Y.								Immunohistology with antibodies specific to test cells in the ascidian Ciona intestinalis suggests their role in larval tunic formation								ResearchGate.				13				241	251						2009										1									
J	Tan, W.; Hunley, P.; St Omer, I.								Properties of silicon carbide nanotubes formed via reaction of SiO2 powder with SWCNTs and MWCNTs								ResearchGate.											DOI 10.1109/SECON.2009.5174082				2009										1									
J	Tan Yue; Gao Dong-sheng; Li Ling; Wet Hai-rong; Wang Jia-wei; Liu Qing-zhong								Relationships between H2O2 metabolism and Ca2+ transport in dormancy-breaking process of nectarine floral buds.								Yingyong Shengtai Xuebao				26	2			425	429	1001-9332(2015)26:2<425:YTHYPM>2.0.TX;2-R				FEB 2015	2015										1									
J	Tawatwachoom, T.; Khottoom, N.; Wairuangsiripon, S.; Rungrojchaipon, P.																Researchgate								1	1		DOI 10.13140/RG.2.1.2669.5847				2015										1									
J	Terenin, Alexander; Draper, David								Rigorizing and Extending the Cox-Jaynes Derivation of Probability: Implications for Statistical Practice								ResearchGate.net															2015										1									
J	M, Thantawi A.; S, Wicaksana I. W.; L, Wulandari								Query Rewriting Berbasis Semantik Menggunakan WordNet dan LCh pada Search Engine Google								Researchgate															2013										1									
J	Thomas, J.								The Geometry of Polychronous Wavefront Computation								ResearchGate															2015										1									
J	Thomas, J.								A Mathematical Treatise on Polychronous Wavefront Computation and its Application into Modeling Neurosensory Systems								ResearchGate															2014										2									
J	Ticinesi, A.; Lauretani, F.; Nouvenne, A.; Porro, E.; Fanelli, G.; Maggio, M.; Meschi, T.								C-Reactive Protein (CRP) Measurement in Geriatric Patients Hospitalized for Acute Infection								ResearchGate.															2016										1									
J	Torres, J.								Identity Management Requirements in Future Internet								ResearchGate														Nov.	2012										1									
J	Trapero, J.R.								Estimation of solar irradiation prediction intervals combining volatility and kernel density estimates								ResearchGate															2015										1									
J	Trotteyn, M. J.								Nuevas evidencias del desarrollo del floculo en el cerebelo de arcosauriformes: variabilidad e implicancias paleobiologicas								Research Gate															2015										1									
J	Tversky, A; Kahneman, D								Evidential Impact of Base Rates								ResearchGate.								29	29						1981										1									
J	Ukani, Vijay; Thacker, Dhaval																QoS Aware Geographic Routing Protocol for Multimedia Transmission in Wireless Sensornetwork											DOI 10.1109/NUICONE.2015.7449639			November	2015										1									
J	[Anonymous]								Uncovering Excellence in Academic Rankings: A Closer Look at the Shanghai Ranking								ResearchGate														14 July	2009										1									
J	Yuzhakov, V.V.								The AdminPenTM microneedle device for painless & convenient drug delivery								Drug Deliv.ery Technol				10	4			32	36						2010										2									
J	Valverde-Rebaza, J; Valejo, A								a naive bayes model based on ovelapping groups for link prediction in online social networks								researchgate															2015										1									
J	van Borkulo, CD; Waldorp, LJ; Boschloo, L								Comparing network structures on three aspects: a permutation test								ResearchGate																									1									
J	Brakel, Van J.								Mass transfer in convective drying								ResearchGate				1				217	267						1980										1									
J	van der Weijde, A. H.; Hobbs, B. F.								Planning electricity transmission to accommodate renewables: Using two-stage programming to evaluate flexibility and the cost of disregarding uncertainty								Research Gate				34	6									Nov.	2012										1									
J	Van Keulen, M; Otten, W; Ruiter, R; Van Steenbergen, J; Fekkes, M; Paulussen, TW								Researchgate								Redenen om zich te laten vaccineren tegen HPV															2013										1									
J	Vanrolleghem, P.A.; Insel, G.; Petersen, B.; Sin, G.; Pauw, D.D.; Nopens, I.; Dovermann, H.; Weijers, S.; Gernaey, K								A comprehensive model calibration procedure for activated sludge models								ResearchGate															2003										1									
J	Velmurugan, D. T.								Efficiency of k-Means and K-Medoids Algorithms for Clustering Arbitrary Data Points								ResearchGate				3	5			1758	1764					Oct.	2012										1									
J	Verdelhos, T.; Cardoso, P.G.; MaP, M.D								Latitudinal gradients in Scrobicularia plana reproduction patterns, population dynamics, growth, and secondary production								ResearchGate				442											2011										1									
J	Voipio-Pulkki, LM; Nuutila, P; Knuuti, MJ; Ruotsalainen, U; Haaparanta, M; Teras, M								Heart and skeletal muscle glucose disposal in type 2 diabetic patients as determined by positron emission tomography								ResearchGate.				34	12			2064	7					Jan 1	1994										1									
J	Wang, W.; Li, S.; Qi, H.; Ayhan, B.; Kwan, C.; Vance, S.								Revisiting the preprocessing procedures for elemental concentration estimation based on CHEMCAM LIBS on MARS Rover								RESEARCHGATE															2014						6th Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing				1									
J	Watthanaworawit, W.; Turner, P.; Turner, C. L.; Tanganuchitcharnchai, A.; Jarman, E. G.; Blacksell, S. D.; Nosten, F. H.								A prospective evaluation of diagnostic methodologies for the acute diagnosis of dengue virus infection on the Thailand-Myanmar border								ResearchGate				105				32	37						2010										1									
J	Weber, J S; Fritz, J; Denger, A; Maletz, M; Zingel, C; Denger, D								Synergien in der modellbasierten Antriebsstrang-und Testsystem-Entwicklung-Model-Based Systems Engineering in der industriellen Anwendung. Conference Paper								ResearchGate														November	2014										1									
J			Wikipedia, ResearchGate														RESEARCHGATE																									1									
J	Wilson, M.; Zolfaghari, P.; Griffin, C.; Lockey, D.; Tolias, C.; Verma, V.								The future of traumatic brain injury research								ResearchGate				22	1			766	766					Dec	2014										1									
J	Wolpert, D. H.; Macready, W. G.								Self-Dissimilarity: An Empirical Measure of Complexity								ResearchGate															1998										1									
J	Xi, B. Y.; Bai, S. P.; Qi, F.																Some new inequalities of Hermite-Hadamard type for (a, mi)-(s, m2)-convex functions on coordinates																									1									
J	Xiao, Y.; Wehrs, J.; Ma, H.; Al-Samman, T.; Korte-Kerzel, S.; Gken, M.; Michler, J.; Spolenak, R.; Wheeler, J.M.								Investigation of the deformation behavior of aluminum micropillars produced by focused ion beam machining using Ga and Xe ions								ResearchGate															2016										1									
J	Yang, M.; Blyth, W.								Modeling Investment Risks and Uncertainties with Real-Options Approach								ResearchGate														Jan.	2007										1									
J	Yin, H.; Schonhals, A.								Broadband Dielectric Spectroscopy on Polymer Blends								ResearchGate															2014										1									
J	Young, M D; Wakefield, M J; Smyth, G K; Oshlack, A								Goseq: gene ontology testing for RNA-seq datasets								ResearchGate								1	26						2012										2									
J	Zhang, D; Li, N; Zhou, ZH; Chen, C; Sun, L; Li, S								iBAT: detecting anomalous taxi trajectories from GPS traces. IBAT: detecting anomalous taxi trajectories from GPS traces								ResearchGate								99	108						2011										1									
J	[Anonymous]								Assessment of referral characteristics of a sample of patients attending the secondary care units at Erbil teaching hospital								ResearchGate				7	2			70	6						2011										1									
